nodo,1,2,3,4,5,6,7,8,9,10
1,,1936.182,1609.437,1878.962,538.0299999999999,1477.947,1381.425,1875.612,1521.971,2618.485000000001
2,1936.182,,1395.1279999999992,604.3829999999999,1585.2769999999998,437.0999999999999,554.757,601.0329999999999,1357.0969999999993,851.0919999999999
3,1609.437,1395.1279999999992,,1189.256,1164.239,753.7499999999999,691.719,1185.906,173.833,1822.3740000000005
4,1878.962,604.3829999999999,1189.256,,1528.0569999999998,759.453,497.537,65.85,1151.2249999999997,1281.2000000000005
5,538.0299999999999,1585.2769999999998,1164.239,1528.0569999999998,,1201.325,1030.52,1524.707,1126.208,2292.0090000000005
6,1477.947,437.0999999999999,753.7499999999999,759.453,1201.325,,302.342,756.1030000000001,715.7189999999999,1113.9170000000004
7,1381.425,554.757,691.719,497.537,1030.52,302.342,,494.187,653.688,1231.574
8,1875.612,601.0329999999999,1185.906,65.85,1524.707,756.1030000000001,494.187,,1147.8749999999998,1277.8500000000004
9,1521.971,1357.0969999999993,173.833,1151.2249999999997,1126.208,715.7189999999999,653.688,1147.8749999999998,,1784.3430000000003
10,2618.485000000001,851.0919999999999,1822.3740000000005,1281.2000000000005,2292.0090000000005,1113.9170000000004,1231.574,1277.8500000000004,1784.3430000000003,
