nodo,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158
1,,1936.182,1609.437,1878.962,538.0299999999999,1477.947,1381.425,1875.612,1521.971,2618.485000000001,1587.9899999999996,2104.665,1813.88,2045.6990000000008,1785.3489999999997,1090.4770000000003,1556.5100000000002,1112.9500000000005,3486.452,3550.516,1474.6999999999994,1212.438,2569.568,2291.2000000000003,2430.273,1142.8070000000005,1372.1289999999997,1114.9320000000002,987.991,1076.6819999999998,853.566,1332.4680000000003,1960.574,3092.527,948.0360000000002,821.5510000000002,1760.9689999999994,8678.858999999999,1488.666,1323.387,1572.4750000000004,1745.4240000000004,1227.685,2505.0760000000005,1477.2780000000005,2394.3389999999995,1383.775,3008.903,2193.0309999999995,6107.493000000001,919.9780000000004,1805.025,1956.483,1528.7639999999997,1674.407,1354.1470000000002,2556.434,1981.3420000000003,1887.077,1925.208,1816.279,1384.945,589.4279999999999,1535.1090000000004,2041.923,515.211,625.4680000000001,1575.561,2592.8369999999995,769.645,2041.62,1575.005,1828.6000000000004,733.8340000000001,3142.922,3137.9600000000005,2691.378,564.165,589.4279999999999,1937.601,3032.6040000000007,1377.9360000000004,1691.7309999999993,1149.61,924.7670000000004,886.641,1895.5160000000003,3556.641,1625.809,1660.3010000000002,1078.3650000000002,1165.358,1380.1530000000002,1659.962,1028.801,3622.95,3618.94,3381.896,2023.638,1143.1050000000002,1765.6639999999995,2191.809,3372.475,2215.134,2004.216,2104.665,2399.535,633.3849999999999,1089.4349999999995,1256.9920000000004,1913.553,2576.081,1412.4640000000002,1300.9780000000003,800.0260000000003,1364.957,1548.049000000001,1196.7420000000004,1450.792,1048.5080000000005,1336.9050000000002,1028.777,1788.0900000000004,986.0240000000002,2746.75,3435.072,2032.32,2433.852,2508.996,657.1030000000001,1283.043,2138.945,2460.7420000000006,2569.568,2017.334,535.9009999999998,1136.3249999999998,1453.9060000000002,995.4530000000002,565.861,564.165,3307.2810000000004,3398.291999999999,1548.049000000001,1891.23,589.34,1870.0280000000005,645.2650000000002,921.2020000000005,3618.94,1875.612,1507.765,1699.6259999999995,963.614,1456.2310000000002,1176.6000000000004,923.5770000000005,782.9010000000001
2,1936.182,,1395.1279999999992,604.3829999999999,1585.2769999999998,437.0999999999999,554.757,601.0329999999999,1357.0969999999993,851.0919999999999,1174.9409999999996,828.0520000000001,539.3009999999999,446.242,278.215,2511.872999999999,2454.135,810.982,2779.725,2741.3050000000007,914.4369999999996,1472.9619999999998,991.974,989.0709999999996,1472.8510000000003,2128.565,933.1189999999996,809.0,932.532,1140.054,1161.986,1388.0969999999998,685.9949999999999,1560.2600000000004,2478.0159999999987,2112.9290000000005,524.3739999999999,9763.19,447.516,603.8169999999999,2602.5650000000005,3021.6440000000016,2312.016,1576.73,1937.6360000000009,3685.7170000000015,1313.2459999999994,1579.2930000000003,635.987,5022.9710000000005,1817.603,1368.2669999999998,1346.4519999999995,854.1559999999996,399.8279999999999,849.4590000000001,1599.012,714.162,1315.1359999999995,398.716,171.82699999999997,551.237,1465.023,930.592,767.3439999999998,1420.9710000000005,1310.7140000000004,2566.9870000000005,4251.631,2250.9549999999995,1252.95,2283.322,1181.705,1417.726,4419.142000000001,1560.3660000000002,1113.784,1498.643,1465.023,663.0219999999999,1803.8990000000003,1347.6480000000004,1278.681999999999,2233.9410000000003,980.616,1030.4499999999998,1220.439,2858.923,1411.499999999999,1704.8640000000007,952.109,788.8860000000001,1342.3619999999996,1445.652999999999,1482.9580000000003,2746.0560000000005,2742.0460000000003,2541.4050000000007,749.0589999999999,1586.4639999999995,1002.1659999999998,563.7309999999999,2531.984000000001,1343.238,727.6030000000002,828.0520000000001,1607.6909999999996,1538.924000000001,999.501,1491.371,636.94,2670.4,1337.681999999999,1270.6900000000005,2007.7110000000005,1294.8589999999997,1414.9549999999992,1534.9879999999998,1290.1219999999994,981.966,1392.5339999999997,1154.726,1017.884,1737.9089999999994,1822.2350000000004,2594.581000000001,1207.93,856.258,931.402,2495.494,701.9639999999999,1241.7319999999995,1045.1879999999996,991.974,1803.0249999999992,1583.148,1080.4109999999998,1266.659,1776.0059999999996,1796.5870000000002,1498.643,2373.9880000000007,2557.801,1414.9549999999992,1323.4649999999997,2397.6540000000005,1223.133,1752.538,1824.625,2742.0460000000003,601.0329999999999,1293.4559999999994,2973.215000000001,1261.573,1268.984,1720.1249999999998,1821.202,1360.918
3,1609.437,1395.1279999999992,,1189.256,1164.239,753.7499999999999,691.719,1185.906,173.833,1822.3740000000005,353.59800000000007,1414.959,1124.174,1263.6699999999998,1095.6429999999998,2090.8350000000005,2033.097,556.6380000000001,1915.559,1979.6230000000007,363.22800000000007,1051.9240000000002,1508.8029999999997,1960.353,859.38,1707.5270000000005,348.404,558.6200000000001,489.865,719.0160000000003,740.9480000000002,967.0590000000004,1270.868,2410.873,2056.978,1401.7859999999998,900.127,9052.047,798.96,573.89,1788.292,2310.5010000000007,1600.8729999999998,2527.3970000000004,964.636,2974.573999999999,244.899,2430.053000000001,1503.3249999999998,6129.814000000001,1396.5650000000005,234.132,385.59,431.9770000000001,984.701,797.8350000000003,985.541,1564.922,316.184,1064.3659999999998,1071.103,695.239,1043.985,1557.4300000000003,1352.217,923.549,813.2919999999999,1752.714,4221.433,1829.917,756.9639999999997,1358.4440000000002,1850.9210000000005,834.6890000000001,3707.9989999999993,2025.862,1630.6129999999996,1092.361,1043.985,1247.8949999999998,1461.711,286.088,454.656,1522.7979999999998,559.5780000000001,624.168,1917.837,1985.748,54.916,716.913,531.0710000000001,475.6520000000001,921.3240000000004,89.069,771.8149999999998,2052.057,2048.047,1811.003,1333.932,1165.4260000000002,531.272,1431.0689999999995,1801.582,644.2410000000001,1314.51,1414.959,828.642,1132.6420000000007,578.4630000000002,1070.3330000000003,1223.847,1313.8160000000005,219.6,384.888,1296.568,250.323,133.251,1113.9500000000005,221.775,560.9280000000001,971.4960000000004,733.6880000000002,1810.4110000000005,1316.871,2769.071,1864.179,784.4679999999998,1573.01,1440.6569999999997,2074.456,593.3370000000001,1054.603,1376.4,1508.8029999999997,446.4409999999999,1162.11,659.3730000000003,845.6210000000002,1354.968,1085.444,1092.361,3329.6020000000003,1827.399,133.251,320.33699999999993,1976.616,1892.3490000000004,1331.5000000000002,1403.5870000000002,2048.047,1185.906,99.936,2262.072,840.5350000000002,847.9460000000003,1299.0870000000002,1400.1640000000002,989.3199999999996
4,1878.962,604.3829999999999,1189.256,,1528.0569999999998,759.453,497.537,65.85,1151.2249999999997,1281.2000000000005,1283.6709999999996,364.625,98.357,486.622,357.586,2454.653,2396.9149999999995,753.762,3066.271,3130.335,979.602,1415.742,1422.0819999999997,1075.8470000000002,1875.4550000000004,2071.345,890.145,751.78,875.3119999999999,1082.834,1104.7659999999998,1330.877,235.51500000000004,1611.9400000000005,2420.796,2055.7090000000003,954.4820000000002,9705.97,597.738,743.0559999999999,2545.3450000000003,2964.424000000002,2254.796,1628.557,1880.4160000000008,3628.497000000001,1107.3739999999998,1631.1200000000003,818.9019999999999,5074.651,1760.383,1384.8439999999996,1455.1819999999996,1014.611,204.555,792.239,2001.616,765.989,1466.8959999999995,828.8240000000002,484.48,494.017,1407.803,955.789,316.86400000000003,1363.7510000000004,1253.4940000000004,2509.7670000000003,4194.411,2193.735,1655.554,2226.102,1061.2529999999997,1360.506,4361.922000000001,1990.474,1543.8919999999996,1441.423,1407.803,58.639,2234.007,1290.4280000000003,1387.4119999999994,2176.721,923.3959999999998,973.23,1099.987,3136.46,1205.6279999999997,1647.6440000000007,894.8889999999999,731.666,1285.1419999999998,1239.7809999999995,1425.738,3202.769,3198.759,2961.715,298.57900000000006,1529.244,1294.9819999999995,669.967,2952.294,1672.5809999999994,264.17600000000004,364.625,2037.799,1481.7040000000009,942.281,1434.151,173.513,2464.5280000000007,1131.8099999999995,1213.4700000000005,1950.4910000000004,1088.987,1209.083,1477.768,1084.2499999999998,924.746,1335.314,1097.506,872.4199999999997,1680.6889999999996,1873.9150000000004,3014.891,1638.0380000000002,1286.366,1361.51,2438.274,644.7439999999999,1671.84,1475.2960000000005,1422.0819999999997,1597.1529999999996,1525.928,1023.191,1209.439,1718.7859999999998,1739.3670000000002,1441.423,2425.6680000000006,2978.110999999999,1209.083,1471.0489999999998,2340.434,1102.6809999999998,1695.318,1767.405,3198.759,65.85,1087.5839999999998,2915.995000000001,1204.353,1211.764,1662.905,1763.982,1303.698
5,538.0299999999999,1585.2769999999998,1164.239,1528.0569999999998,,1201.325,1030.52,1524.707,1126.208,2292.0090000000005,1341.169,1753.76,1462.975,1602.4709999999998,1434.4439999999995,971.226,1230.034,667.753,3041.2540000000004,3105.318,1227.8789999999997,549.985,2322.7470000000003,1964.7240000000004,2014.7000000000005,816.3309999999999,1125.308,669.735,730.1870000000001,573.0229999999999,423.291,720.6760000000002,1609.669,2766.051,875.2360000000001,1201.504,1400.681,9058.812,1137.761,1046.765,1952.428,2125.3770000000004,1607.6379999999997,2178.6000000000004,1695.581,2774.2919999999995,999.9930000000002,2682.427,1842.126,5781.017000000001,593.5020000000001,1359.8269999999998,1512.68,1281.943,1323.502,908.9500000000002,2140.861000000001,1654.866,1441.879,1564.9199999999998,1465.3739999999998,1034.04,120.254,1208.633,1691.0179999999998,479.43,552.052,1955.514,2774.1090000000004,538.566,1794.799,1954.958,1502.124,894.237,3522.874999999999,2891.1390000000006,2444.557,328.052,120.254,1586.6959999999997,2617.031000000001,994.1540000000002,1444.91,1529.5629999999996,605.5010000000002,553.469,1569.04,3111.443,1180.611,1351.3700000000006,642.186,814.453,674.9410000000001,1214.764,1176.8760000000002,3177.752,3173.742,2936.698,1672.733,816.6289999999999,1518.843,1769.8699999999997,2927.277,1730.079,1653.311,1753.76,1983.962,368.333,585.776,930.5159999999998,1562.648,2439.511000000001,1028.6820000000002,917.196,1179.9790000000005,981.1750000000002,1184.066,870.2659999999998,1018.9920000000002,619.9389999999999,725.1130000000002,598.502,1461.614,407.031,2420.2739999999994,2989.874,1785.4989999999998,2187.031,2262.175,748.048,794.768,1892.1240000000005,2213.9210000000007,2322.7470000000003,1572.1359999999995,2129.0,632.6659999999999,599.238,668.977,841.041,328.052,2980.805,2953.093999999999,1184.066,1446.032,659.889,1543.552,318.789,594.7260000000001,3173.742,1524.707,1062.567,2051.378,533.339,596.913,850.1239999999999,597.1010000000001,423.282
6,1477.947,437.0999999999999,753.7499999999999,759.453,1201.325,,302.342,756.1030000000001,715.7189999999999,1113.9170000000004,804.475,985.1560000000002,694.3710000000001,601.312,433.285,2127.9210000000003,2070.1830000000004,489.21600000000007,2630.765,2443.824,487.5540000000001,1089.0100000000002,1263.4529999999993,1251.896,1344.5340000000003,1744.6130000000005,398.0970000000001,487.234,529.147,756.1020000000003,778.0340000000002,1004.1450000000004,841.065,1715.1830000000002,2094.064,1654.6940000000002,370.6880000000001,9304.954999999998,195.101,243.29400000000004,2144.3299999999995,2563.409000000001,1853.781,1731.8000000000002,1479.4010000000003,3227.4820000000004,671.8679999999999,1734.3630000000005,791.0569999999999,5178.041000000001,1433.6510000000003,949.338,975.9860000000002,483.69,554.898,527.6930000000001,1470.695,869.232,944.67,349.81700000000006,274.973,298.822,1081.071,1085.6619999999998,922.414,962.7360000000002,852.4790000000002,2108.7519999999995,3867.679,1867.003,1124.633,1825.087,1336.775,959.491,3960.907,1831.8449999999991,1385.2629999999992,1114.6910000000005,1081.071,818.0920000000001,1946.865,889.413,908.2160000000002,1775.706,596.6640000000001,646.4980000000003,1375.5090000000002,2700.954,770.122,1246.629,568.1570000000002,404.9340000000001,958.4100000000004,804.275,1024.723,2445.604,2439.957,2413.0880000000006,904.129,1202.5120000000002,764.061,718.8009999999999,2403.667000000001,1214.921,884.7070000000002,985.1560000000002,1313.796,1154.9720000000011,615.5490000000002,1107.4190000000003,794.0440000000001,2029.021999999999,696.304,812.455,1549.4760000000003,653.4809999999999,773.5769999999999,1151.0360000000005,648.7439999999999,598.0140000000001,1008.5820000000004,770.7740000000002,1172.9540000000002,1353.957,1977.1580000000008,2466.264000000001,1115.333,1127.7369999999996,1202.8809999999996,2111.542,380.1980000000001,980.797,1316.667,1263.4529999999993,1161.647,1199.196,696.4590000000003,882.7070000000002,1392.054,1338.352,1114.6910000000005,2528.911,2429.484,773.5769999999999,952.999,2013.702,1378.2030000000002,1368.5860000000002,1440.6730000000002,2439.957,756.1030000000001,652.0779999999999,2514.9800000000005,877.6210000000002,885.0320000000003,1336.1730000000002,1437.2500000000002,976.966
7,1381.425,554.757,691.719,497.537,1030.52,302.342,,494.187,653.688,1231.574,786.1339999999999,723.2400000000001,432.455,571.951,403.924,1957.116,1899.378,256.225,2568.734,2632.798,482.065,918.2050000000002,1372.4559999999994,1183.0610000000004,1459.6650000000002,1573.8080000000002,392.608,254.243,377.775,585.2970000000001,607.229,833.3400000000001,579.149,1719.1540000000002,1923.259,1558.172,605.549,9208.433,107.241,245.519,2047.808,2466.8870000000006,1757.2589999999998,1735.7710000000002,1382.8790000000004,3130.96,609.837,1738.3340000000003,811.6059999999999,5181.865000000001,1262.8460000000002,887.3070000000001,957.645,536.1289999999999,292.982,294.702,1585.8259999999998,873.203,969.3590000000002,652.159,434.854,3.52,910.266,1082.0559999999998,660.4979999999999,866.2140000000002,755.9570000000001,2012.23,3696.873999999999,1696.198,1239.764,1728.5649999999998,1340.746,862.969,3864.3849999999993,1940.8479999999995,1494.2659999999994,943.886,910.266,556.176,2061.996,792.8910000000001,889.8750000000001,1679.1839999999995,425.859,475.693,1379.4800000000002,2638.923,708.091,1150.1070000000002,397.352,234.129,787.6050000000001,742.244,928.201,2705.2320000000004,2701.222,2464.1780000000003,642.213,1031.707,816.5,739.3499999999999,2454.7570000000005,1175.044,622.7910000000002,723.2400000000001,1428.927,984.1669999999998,444.744,936.6140000000004,532.128,1966.990999999999,634.273,715.9330000000001,1452.9540000000002,591.4499999999999,711.5459999999999,980.2310000000002,586.713,427.20900000000006,837.7770000000002,599.969,1176.9250000000002,1183.1519999999998,1981.1290000000008,2517.3540000000003,1230.4639999999995,1236.7399999999998,1311.8839999999998,1940.737,147.207,1189.781,1425.67,1372.4559999999994,1099.6160000000002,1028.391,525.6540000000001,711.902,1221.249,1241.83,943.886,2532.882,2480.574,711.5459999999999,973.5120000000002,1842.897,1382.1740000000002,1197.781,1269.8680000000002,2701.222,494.187,590.0469999999999,2418.458,706.816,714.2270000000001,1165.3680000000002,1266.4450000000002,806.1609999999998
8,1875.612,601.0329999999999,1185.906,65.85,1524.707,756.1030000000001,494.187,,1147.8749999999998,1277.8500000000004,1280.3209999999997,361.275,95.007,483.272,354.236,2451.3029999999994,2393.565,750.4119999999999,3062.921,3126.985,976.252,1412.3919999999998,1418.7319999999995,1072.497,1872.1050000000005,2067.995,886.7949999999998,748.43,871.9619999999998,1079.4839999999997,1101.4159999999997,1327.5269999999998,233.52000000000004,1608.5900000000004,2417.445999999999,2052.3590000000004,951.132,9702.62,594.3879999999999,739.7059999999999,2541.995,2961.074000000002,2251.4459999999995,1625.207,1877.0660000000007,3625.147000000001,1104.0239999999997,1627.7700000000004,815.552,5071.301,1757.033,1381.4939999999997,1451.8319999999997,1011.261,201.205,788.889,1998.266,762.639,1463.5459999999998,825.474,481.13,490.667,1404.4529999999995,952.439,314.869,1360.4010000000003,1250.1440000000002,2506.417,4191.061,2190.385,1652.2040000000002,2222.7520000000004,1057.9029999999998,1357.1559999999995,4358.572000000001,1987.124,1540.5419999999997,1438.073,1404.4529999999995,124.489,2230.657,1287.0780000000002,1384.0619999999994,2173.371,920.0459999999996,969.8799999999998,1096.637,3133.11,1202.2779999999998,1644.2940000000006,891.5389999999998,728.3159999999999,1281.7919999999997,1236.4309999999998,1422.388,3199.419,3195.409,2958.365,296.58400000000006,1525.8939999999998,1291.6319999999998,666.617,2948.944,1669.2309999999995,260.826,361.275,2034.449,1478.3540000000007,938.9309999999998,1430.801,170.16300000000004,2461.178000000001,1128.4599999999996,1210.12,1947.1410000000003,1085.6369999999995,1205.733,1474.418,1080.8999999999996,921.3959999999996,1331.9639999999995,1094.156,869.0699999999998,1677.3389999999995,1870.5650000000005,3011.541,1634.688,1283.016,1358.16,2434.924,641.3939999999999,1668.49,1471.9460000000004,1418.7319999999995,1593.8029999999997,1522.5779999999995,1019.841,1206.089,1715.4359999999997,1736.017,1438.073,2422.3180000000007,2974.760999999999,1205.733,1467.6989999999998,2337.0840000000003,1099.331,1691.9679999999998,1764.0549999999998,3195.409,0.0,1084.234,2912.645000000001,1201.003,1208.414,1659.5549999999998,1760.6319999999998,1300.348
9,1521.971,1357.0969999999993,173.833,1151.2249999999997,1126.208,715.7189999999999,653.688,1147.8749999999998,,1784.3430000000003,512.7600000000001,1376.928,1086.143,1225.639,1057.612,2052.804,1995.0660000000005,518.607,2050.8479999999995,2114.9120000000007,575.827,1013.893,1644.0919999999994,1922.322,994.669,1669.4960000000003,473.256,520.5889999999999,402.399,680.9850000000001,702.917,929.028,1232.837,2372.842,2018.9470000000003,1314.3199999999997,862.0959999999999,8924.793,760.9290000000001,535.859,1669.619,2223.0350000000008,1469.323,2489.3660000000004,766.0830000000001,2887.108,90.54,2392.022000000001,1465.294,6091.783000000001,1358.5340000000003,369.4210000000001,520.879,629.8909999999997,946.67,759.8040000000001,1120.8299999999997,1526.891,451.47300000000007,1026.3349999999998,1033.072,657.2080000000001,1005.954,1519.3990000000003,1314.186,836.0830000000001,725.826,1634.041,4133.967000000001,1791.886,892.2529999999998,1239.771,1812.8900000000003,747.2230000000001,3620.533,2161.151,1765.9019999999994,1004.895,1005.954,1209.8639999999998,1596.9999999999998,176.095,589.945,1335.7179999999998,521.5469999999999,536.702,1879.8060000000005,2121.037,178.015,533.3109999999999,493.04,437.621,883.2930000000001,143.86200000000002,602.752,2187.346,2183.336,1946.292,1295.901,1127.3950000000002,690.434,1393.038,1936.871,779.5300000000002,1276.479,1376.928,963.9310000000002,1045.1759999999997,540.432,1032.3020000000004,1185.816,1306.8999999999996,61.851,227.139,1209.102,109.358,57.858,1075.919,71.179,522.897,933.465,695.657,1772.3800000000003,1278.84,2731.04,1999.468,919.757,1534.979,1575.9459999999997,1684.1699999999996,555.306,1189.8919999999998,1511.6889999999996,1644.0919999999994,467.24500000000006,1124.079,621.3420000000001,807.59,1316.937,997.978,1004.895,3291.5710000000004,1962.688,57.858,455.626,1938.585,1854.3180000000004,1293.469,1365.5560000000005,2183.336,1147.875,115.793,2174.606,802.504,809.9150000000001,1261.0560000000005,1362.1330000000005,901.8539999999998
10,2618.485000000001,851.0919999999999,1822.3740000000005,1281.2000000000005,2292.0090000000005,1113.9170000000004,1231.574,1277.8500000000004,1784.3430000000003,,1602.1869999999994,1447.9830000000002,1216.118,938.3950000000002,955.032,2409.793,2352.055,1487.799,2899.7819999999992,2646.4450000000006,1341.683,1678.046,897.114,444.905,1595.0869999999995,2026.4850000000004,1360.3649999999998,1485.817,1734.4159999999993,1816.871,1838.803,1673.7470000000003,1362.812,1068.9549999999997,2375.936,2753.948,951.62,10404.208999999995,1124.333,1305.831,3243.5840000000007,3662.663000000001,2953.034999999999,1432.9889999999998,2578.654999999998,4326.736000000003,1740.4919999999993,1088.1349999999998,1312.804,4531.665999999999,1715.5230000000004,1795.5129999999997,1773.6979999999994,1281.4019999999998,1076.645,1526.2759999999998,1731.4679999999998,711.455,1742.3819999999996,825.9619999999999,848.6440000000001,1228.054,2141.84,1083.3760000000002,1444.1609999999998,2168.004999999999,2057.747999999999,3208.0060000000008,4550.757999999999,2148.8750000000005,1483.715,2924.3409999999985,1288.701,2186.851,5060.161000000001,1465.506,1018.924,2175.4600000000005,2141.84,1339.8389999999995,1709.0390000000002,1988.667,1705.9279999999992,2874.96,1657.4330000000002,1707.267,1327.4350000000002,3089.688000000001,1838.7459999999992,2345.882999999999,1628.926,1465.703,1721.4320000000002,1872.8989999999992,2123.976999999999,2651.1960000000004,2647.186,2772.170000000001,1425.876,1475.3800000000003,1429.4119999999996,1074.779,2762.749000000001,1574.003,1382.1300000000003,1447.9830000000002,1512.8309999999997,2215.7410000000013,1676.318,1589.2670000000005,1307.415,3097.646,1764.9279999999992,1911.709,2648.73,1722.104999999999,1842.201,1529.0170000000005,1717.3679999999993,1658.783,1678.1840000000002,1831.543,1124.88,1787.3670000000004,1678.3470000000002,2743.0710000000004,1438.695,761.3979999999999,836.5419999999999,2393.414,1378.781,1146.8719999999998,950.3279999999996,897.114,2230.271,2259.983,1757.2279999999998,1795.1850000000002,1673.9260000000002,2437.606,2175.4600000000005,1882.683,2788.5660000000003,1842.201,1750.7109999999996,2295.5740000000005,1330.129,1973.22,1722.5450000000003,2647.186,1277.85,1720.701999999999,3614.234000000001,1938.39,1797.5100000000002,1609.0410000000004,1719.1220000000003,2037.7350000000004
