nodo,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,,1936.182,1609.437,1878.962,538.0299999999999,1477.947,1381.425,1875.612,1521.971,2618.485000000001,1587.9899999999996,2104.665,1813.88,2045.6990000000008,1785.3489999999997,1090.4770000000003,1556.5100000000002,1112.9500000000005,3486.452,3550.516
2,1936.182,,1395.1279999999992,604.3829999999999,1585.2769999999998,437.0999999999999,554.757,601.0329999999999,1357.0969999999993,851.0919999999999,1174.9409999999996,828.0520000000001,539.3009999999999,446.242,278.215,2511.872999999999,2454.135,810.982,2779.725,2741.3050000000007
3,1609.437,1395.1279999999992,,1189.256,1164.239,753.7499999999999,691.719,1185.906,173.833,1822.3740000000005,353.59800000000007,1414.959,1124.174,1263.6699999999998,1095.6429999999998,2090.8350000000005,2033.097,556.6380000000001,1915.559,1979.6230000000007
4,1878.962,604.3829999999999,1189.256,,1528.0569999999998,759.453,497.537,65.85,1151.2249999999997,1281.2000000000005,1283.6709999999996,364.625,98.357,486.622,357.586,2454.653,2396.9149999999995,753.762,3066.271,3130.335
5,538.0299999999999,1585.2769999999998,1164.239,1528.0569999999998,,1201.325,1030.52,1524.707,1126.208,2292.0090000000005,1341.169,1753.76,1462.975,1602.4709999999998,1434.4439999999995,971.226,1230.034,667.753,3041.2540000000004,3105.318
6,1477.947,437.0999999999999,753.7499999999999,759.453,1201.325,,302.342,756.1030000000001,715.7189999999999,1113.9170000000004,804.475,985.1560000000002,694.3710000000001,601.312,433.285,2127.9210000000003,2070.1830000000004,489.21600000000007,2630.765,2443.824
7,1381.425,554.757,691.719,497.537,1030.52,302.342,,494.187,653.688,1231.574,786.1339999999999,723.2400000000001,432.455,571.951,403.924,1957.116,1899.378,256.225,2568.734,2632.798
8,1875.612,601.0329999999999,1185.906,65.85,1524.707,756.1030000000001,494.187,,1147.8749999999998,1277.8500000000004,1280.3209999999997,361.275,95.007,483.272,354.236,2451.3029999999994,2393.565,750.4119999999999,3062.921,3126.985
9,1521.971,1357.0969999999993,173.833,1151.2249999999997,1126.208,715.7189999999999,653.688,1147.8749999999998,,1784.3430000000003,512.7600000000001,1376.928,1086.143,1225.639,1057.612,2052.804,1995.0660000000005,518.607,2050.8479999999995,2114.9120000000007
10,2618.485000000001,851.0919999999999,1822.3740000000005,1281.2000000000005,2292.0090000000005,1113.9170000000004,1231.574,1277.8500000000004,1784.3430000000003,,1602.1869999999994,1447.9830000000002,1216.118,938.3950000000002,955.032,2409.793,2352.055,1487.799,2899.7819999999992,2646.4450000000006
11,1587.9899999999996,1174.9409999999996,353.59800000000007,1283.6709999999996,1341.169,804.475,786.1339999999999,1280.3209999999997,512.7600000000001,1602.1869999999994,,1509.374,1218.589,1177.255,1009.228,2267.765,2210.027,733.5680000000001,1893.703,1789.8689999999992
12,2104.665,828.0520000000001,1414.959,364.625,1753.76,985.1560000000002,723.2400000000001,361.275,1376.928,1447.9830000000002,1509.374,,299.646,626.761,583.289,2274.563,2216.8250000000003,979.465,3291.974,3356.038
13,1813.88,539.3009999999999,1124.174,98.357,1462.975,694.3710000000001,432.455,95.007,1086.143,1216.118,1218.589,299.646,,388.26499999999993,292.504,2389.5709999999995,2331.833,688.6800000000001,3001.189,3065.253
14,2045.6990000000008,446.242,1263.6699999999998,486.622,1602.4709999999998,601.312,571.951,483.272,1225.639,938.3950000000002,1177.255,626.761,388.26499999999993,,168.02700000000002,1837.007,1779.2690000000002,828.176,3140.685,3013.272
15,1785.3489999999997,278.215,1095.6429999999998,357.586,1434.4439999999995,433.285,403.924,354.236,1057.612,955.032,1009.228,583.289,292.504,168.02700000000002,,2004.549,1946.811,660.1490000000001,2972.658,2845.245
16,1090.4770000000003,2511.872999999999,2090.8350000000005,2454.653,971.226,2127.9210000000003,1957.116,2451.3029999999994,2052.804,2409.793,2267.765,2274.563,2389.5709999999995,1837.007,2004.549,,857.2210000000002,1594.349,3967.85,4031.914
17,1556.5100000000002,2454.135,2033.097,2396.9149999999995,1230.034,2070.1830000000004,1899.378,2393.565,1995.0660000000005,2352.055,2210.027,2216.8250000000003,2331.833,1779.2690000000002,1946.811,857.2210000000002,,1536.611,3910.112,3974.175999999999
18,1112.9500000000005,810.982,556.6380000000001,753.762,667.753,489.21600000000007,256.225,750.4119999999999,518.607,1487.799,733.5680000000001,979.465,688.6800000000001,828.176,660.1490000000001,1594.349,1536.611,,2433.653,2497.717
19,3486.452,2779.725,1915.559,3066.271,3041.2540000000004,2630.765,2568.734,3062.921,2050.8479999999995,2899.7819999999992,1893.703,3291.974,3001.189,3140.685,2972.658,3967.85,3910.112,2433.653,,295.696
20,3550.516,2741.3050000000007,1979.6230000000007,3130.335,3105.318,2443.824,2632.798,3126.985,2114.9120000000007,2646.4450000000006,1789.8689999999992,3356.038,3065.253,3013.272,2845.245,4031.914,3974.175999999999,2497.717,295.696,
