nodo,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1,,1936.182,1609.437,1878.962,538.0299999999999,1477.947,1381.425,1875.612,1521.971,2618.485000000001,1587.9899999999996,2104.665,1813.88,2045.6990000000008,1785.3489999999997,1090.4770000000003,1556.5100000000002,1112.9500000000005,3486.452,3550.516,1474.6999999999994,1212.438,2569.568,2291.2000000000003,2430.273,1142.8070000000005,1372.1289999999997,1114.9320000000002,987.991,1076.6819999999998,853.566,1332.4680000000003,1960.574,3092.527,948.0360000000002,821.5510000000002,1760.9689999999994,8678.858999999999,1488.666,1323.387
2,1936.182,,1395.1279999999992,604.3829999999999,1585.2769999999998,437.0999999999999,554.757,601.0329999999999,1357.0969999999993,851.0919999999999,1174.9409999999996,828.0520000000001,539.3009999999999,446.242,278.215,2511.872999999999,2454.135,810.982,2779.725,2741.3050000000007,914.4369999999996,1472.9619999999998,991.974,989.0709999999996,1472.8510000000003,2128.565,933.1189999999996,809.0,932.532,1140.054,1161.986,1388.0969999999998,685.9949999999999,1560.2600000000004,2478.0159999999987,2112.9290000000005,524.3739999999999,9763.19,447.516,603.8169999999999
3,1609.437,1395.1279999999992,,1189.256,1164.239,753.7499999999999,691.719,1185.906,173.833,1822.3740000000005,353.59800000000007,1414.959,1124.174,1263.6699999999998,1095.6429999999998,2090.8350000000005,2033.097,556.6380000000001,1915.559,1979.6230000000007,363.22800000000007,1051.9240000000002,1508.8029999999997,1960.353,859.38,1707.5270000000005,348.404,558.6200000000001,489.865,719.0160000000003,740.9480000000002,967.0590000000004,1270.868,2410.873,2056.978,1401.7859999999998,900.127,9052.047,798.96,573.89
4,1878.962,604.3829999999999,1189.256,,1528.0569999999998,759.453,497.537,65.85,1151.2249999999997,1281.2000000000005,1283.6709999999996,364.625,98.357,486.622,357.586,2454.653,2396.9149999999995,753.762,3066.271,3130.335,979.602,1415.742,1422.0819999999997,1075.8470000000002,1875.4550000000004,2071.345,890.145,751.78,875.3119999999999,1082.834,1104.7659999999998,1330.877,235.51500000000004,1611.9400000000005,2420.796,2055.7090000000003,954.4820000000002,9705.97,597.738,743.0559999999999
5,538.0299999999999,1585.2769999999998,1164.239,1528.0569999999998,,1201.325,1030.52,1524.707,1126.208,2292.0090000000005,1341.169,1753.76,1462.975,1602.4709999999998,1434.4439999999995,971.226,1230.034,667.753,3041.2540000000004,3105.318,1227.8789999999997,549.985,2322.7470000000003,1964.7240000000004,2014.7000000000005,816.3309999999999,1125.308,669.735,730.1870000000001,573.0229999999999,423.291,720.6760000000002,1609.669,2766.051,875.2360000000001,1201.504,1400.681,9058.812,1137.761,1046.765
6,1477.947,437.0999999999999,753.7499999999999,759.453,1201.325,,302.342,756.1030000000001,715.7189999999999,1113.9170000000004,804.475,985.1560000000002,694.3710000000001,601.312,433.285,2127.9210000000003,2070.1830000000004,489.21600000000007,2630.765,2443.824,487.5540000000001,1089.0100000000002,1263.4529999999993,1251.896,1344.5340000000003,1744.6130000000005,398.0970000000001,487.234,529.147,756.1020000000003,778.0340000000002,1004.1450000000004,841.065,1715.1830000000002,2094.064,1654.6940000000002,370.6880000000001,9304.954999999998,195.101,243.29400000000004
7,1381.425,554.757,691.719,497.537,1030.52,302.342,,494.187,653.688,1231.574,786.1339999999999,723.2400000000001,432.455,571.951,403.924,1957.116,1899.378,256.225,2568.734,2632.798,482.065,918.2050000000002,1372.4559999999994,1183.0610000000004,1459.6650000000002,1573.8080000000002,392.608,254.243,377.775,585.2970000000001,607.229,833.3400000000001,579.149,1719.1540000000002,1923.259,1558.172,605.549,9208.433,107.241,245.519
8,1875.612,601.0329999999999,1185.906,65.85,1524.707,756.1030000000001,494.187,,1147.8749999999998,1277.8500000000004,1280.3209999999997,361.275,95.007,483.272,354.236,2451.3029999999994,2393.565,750.4119999999999,3062.921,3126.985,976.252,1412.3919999999998,1418.7319999999995,1072.497,1872.1050000000005,2067.995,886.7949999999998,748.43,871.9619999999998,1079.4839999999997,1101.4159999999997,1327.5269999999998,233.52000000000004,1608.5900000000004,2417.445999999999,2052.3590000000004,951.132,9702.62,594.3879999999999,739.7059999999999
9,1521.971,1357.0969999999993,173.833,1151.2249999999997,1126.208,715.7189999999999,653.688,1147.8749999999998,,1784.3430000000003,512.7600000000001,1376.928,1086.143,1225.639,1057.612,2052.804,1995.0660000000005,518.607,2050.8479999999995,2114.9120000000007,575.827,1013.893,1644.0919999999994,1922.322,994.669,1669.4960000000003,473.256,520.5889999999999,402.399,680.9850000000001,702.917,929.028,1232.837,2372.842,2018.9470000000003,1314.3199999999997,862.0959999999999,8924.793,760.9290000000001,535.859
10,2618.485000000001,851.0919999999999,1822.3740000000005,1281.2000000000005,2292.0090000000005,1113.9170000000004,1231.574,1277.8500000000004,1784.3430000000003,,1602.1869999999994,1447.9830000000002,1216.118,938.3950000000002,955.032,2409.793,2352.055,1487.799,2899.7819999999992,2646.4450000000006,1341.683,1678.046,897.114,444.905,1595.0869999999995,2026.4850000000004,1360.3649999999998,1485.817,1734.4159999999993,1816.871,1838.803,1673.7470000000003,1362.812,1068.9549999999997,2375.936,2753.948,951.62,10404.208999999995,1124.333,1305.831
11,1587.9899999999996,1174.9409999999996,353.59800000000007,1283.6709999999996,1341.169,804.475,786.1339999999999,1280.3209999999997,512.7600000000001,1602.1869999999994,,1509.374,1218.589,1177.255,1009.228,2267.765,2210.027,733.5680000000001,1893.703,1789.8689999999992,258.89400000000006,1228.854,1121.651,1740.1660000000002,692.216,1884.457,392.5659999999999,735.5500000000001,639.1900000000002,895.9460000000003,917.8780000000002,1143.989,1365.283,2291.126,2233.908,1658.7220000000002,679.94,9308.982999999998,893.375,571.0319999999999
12,2104.665,828.0520000000001,1414.959,364.625,1753.76,985.1560000000002,723.2400000000001,361.275,1376.928,1447.9830000000002,1509.374,,299.646,626.761,583.289,2274.563,2216.8250000000003,979.465,3291.974,3356.038,1205.3049999999998,1641.4449999999997,1647.7849999999996,1120.6980000000003,2101.158,1891.2550000000003,1115.8480000000002,977.483,1101.015,1308.5369999999996,1330.4689999999998,1556.5799999999997,468.86,1656.7910000000004,2240.706,2281.4120000000003,1180.185,9931.673,823.441,968.759
13,1813.88,539.3009999999999,1124.174,98.357,1462.975,694.3710000000001,432.455,95.007,1086.143,1216.118,1218.589,299.646,,388.26499999999993,292.504,2389.5709999999995,2331.833,688.6800000000001,3001.189,3065.253,914.52,1350.66,1356.9999999999995,977.49,1810.3730000000005,2006.263,825.0629999999999,686.6980000000001,810.2299999999998,1017.752,1039.684,1265.7949999999998,202.34500000000003,1513.5830000000003,2355.713999999999,1990.627,889.4000000000001,9640.888,532.656,677.9739999999999
14,2045.6990000000008,446.242,1263.6699999999998,486.622,1602.4709999999998,601.312,571.951,483.272,1225.639,938.3950000000002,1177.255,626.761,388.26499999999993,,168.02700000000002,1837.007,1779.2690000000002,828.176,3140.685,3013.272,916.751,1105.26,1263.9409999999991,611.11,1717.3140000000008,1453.6990000000003,935.433,826.1940000000001,949.726,1157.2479999999998,1179.1799999999998,1100.9610000000002,590.6100000000001,1147.2029999999995,1803.1500000000003,2130.1230000000005,796.3409999999999,9780.383999999998,507.266,768.0289999999999
15,1785.3489999999997,278.215,1095.6429999999998,357.586,1434.4439999999995,433.285,403.924,354.236,1057.612,955.032,1009.228,583.289,292.504,168.02700000000002,,2004.549,1946.811,660.1490000000001,2972.658,2845.245,748.7239999999998,1322.1289999999997,1095.9139999999995,779.137,1549.2870000000005,1621.2410000000002,767.4059999999997,658.1670000000001,781.6989999999998,989.221,1011.153,1237.2639999999997,439.198,1315.23,1970.692,1962.096,628.3140000000001,9612.357,339.239,600.002
16,1090.4770000000003,2511.872999999999,2090.8350000000005,2454.653,971.226,2127.9210000000003,1957.116,2451.3029999999994,2052.804,2409.793,2267.765,2274.563,2389.5709999999995,1837.007,2004.549,,857.2210000000002,1594.349,3967.85,4031.914,2154.4749999999995,1003.746,3249.3430000000008,2082.5080000000003,2941.296,660.9590000000001,2051.9039999999995,1596.331,1739.4450000000002,1491.1049999999998,1242.9890000000005,1123.776,2536.265,2883.835,142.441,1745.9529999999995,2327.277,10019.901,2064.357,1973.361
17,1556.5100000000002,2454.135,2033.097,2396.9149999999995,1230.034,2070.1830000000004,1899.378,2393.565,1995.0660000000005,2352.055,2210.027,2216.8250000000003,2331.833,1779.2690000000002,1946.811,857.2210000000002,,1536.611,3910.112,3974.175999999999,2096.736999999999,1070.3369999999998,3191.6050000000005,2024.7700000000004,2883.5579999999995,365.2360000000001,1994.166,1538.5929999999998,1681.707,1433.367,1249.153,1066.038,2478.527,2826.097,999.662,2044.271,2269.539,10709.562,2006.619,1915.623
18,1112.9500000000005,810.982,556.6380000000001,753.762,667.753,489.21600000000007,256.225,750.4119999999999,518.607,1487.799,733.5680000000001,979.465,688.6800000000001,828.176,660.1490000000001,1594.349,1536.611,,2433.653,2497.717,620.2780000000001,555.438,1566.4729999999993,1439.2860000000005,1407.0990000000004,1211.041,517.7070000000001,1982.0,205.248,222.53,244.462,470.573,835.374,1975.379,1560.492,1418.54,718.154,9068.801,363.466,364.238
19,3486.452,2779.725,1915.559,3066.271,3041.2540000000004,2630.765,2568.734,3062.921,2050.8479999999995,2899.7819999999992,1893.703,3291.974,3001.189,3140.685,2972.658,3967.85,3910.112,2433.653,,295.696,2242.1270000000004,2928.9389999999994,2062.516,3037.7610000000013,1355.028,3584.541999999999,2388.302,2435.635,2366.88,2596.030999999999,2617.962999999999,2844.073999999999,3147.883,3823.9430000000016,3933.9929999999977,3295.7510000000007,2526.873000000001,9993.083,2675.9749999999995,2450.905
20,3550.516,2741.3050000000007,1979.6230000000007,3130.335,3105.318,2443.824,2632.798,3126.985,2114.9120000000007,2646.4450000000006,1789.8689999999992,3356.038,3065.253,3013.272,2845.245,4031.914,3974.175999999999,2497.717,295.696,,2028.8830000000005,2993.003,1809.179,2784.424000000001,1104.662,3648.6059999999993,2165.387,2499.699,2430.9440000000004,2660.095,2682.026999999999,2908.1379999999995,3211.947,3570.606000000001,3998.056999999998,3364.1980000000017,2319.289,10066.195,2740.039,2282.1210000000005
