nodo,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
1,,1936.182,1609.437,1878.962,538.0299999999999,1477.947,1381.425,1875.612,1521.971,2618.485000000001,1587.9899999999996,2104.665,1813.88,2045.6990000000008,1785.3489999999997,1090.4770000000003,1556.5100000000002,1112.9500000000005,3486.452,3550.516,1474.6999999999994,1212.438,2569.568,2291.2000000000003,2430.273,1142.8070000000005,1372.1289999999997,1114.9320000000002,987.991,1076.6819999999998,853.566,1332.4680000000003,1960.574,3092.527,948.0360000000002,821.5510000000002,1760.9689999999994,8678.858999999999,1488.666,1323.387,1572.4750000000004,1745.4240000000004,1227.685,2505.0760000000005,1477.2780000000005,2394.3389999999995,1383.775,3008.903,2193.0309999999995,6107.493000000001,919.9780000000004,1805.025,1956.483,1528.7639999999997,1674.407,1354.1470000000002,2556.434,1981.3420000000003,1887.077,1925.208,1816.279,1384.945,589.4279999999999,1535.1090000000004,2041.923,515.211,625.4680000000001,1575.561,2592.8369999999995,769.645,2041.62,1575.005,1828.6000000000004,733.8340000000001,3142.922,3137.9600000000005,2691.378,564.165,589.4279999999999,1937.601
2,1936.182,,1395.1279999999992,604.3829999999999,1585.2769999999998,437.0999999999999,554.757,601.0329999999999,1357.0969999999993,851.0919999999999,1174.9409999999996,828.0520000000001,539.3009999999999,446.242,278.215,2511.872999999999,2454.135,810.982,2779.725,2741.3050000000007,914.4369999999996,1472.9619999999998,991.974,989.0709999999996,1472.8510000000003,2128.565,933.1189999999996,809.0,932.532,1140.054,1161.986,1388.0969999999998,685.9949999999999,1560.2600000000004,2478.0159999999987,2112.9290000000005,524.3739999999999,9763.19,447.516,603.8169999999999,2602.5650000000005,3021.6440000000016,2312.016,1576.73,1937.6360000000009,3685.7170000000015,1313.2459999999994,1579.2930000000003,635.987,5022.9710000000005,1817.603,1368.2669999999998,1346.4519999999995,854.1559999999996,399.8279999999999,849.4590000000001,1599.012,714.162,1315.1359999999995,398.716,171.82699999999997,551.237,1465.023,930.592,767.3439999999998,1420.9710000000005,1310.7140000000004,2566.9870000000005,4251.631,2250.9549999999995,1252.95,2283.322,1181.705,1417.726,4419.142000000001,1560.3660000000002,1113.784,1498.643,1465.023,663.0219999999999
3,1609.437,1395.1279999999992,,1189.256,1164.239,753.7499999999999,691.719,1185.906,173.833,1822.3740000000005,353.59800000000007,1414.959,1124.174,1263.6699999999998,1095.6429999999998,2090.8350000000005,2033.097,556.6380000000001,1915.559,1979.6230000000007,363.22800000000007,1051.9240000000002,1508.8029999999997,1960.353,859.38,1707.5270000000005,348.404,558.6200000000001,489.865,719.0160000000003,740.9480000000002,967.0590000000004,1270.868,2410.873,2056.978,1401.7859999999998,900.127,9052.047,798.96,573.89,1788.292,2310.5010000000007,1600.8729999999998,2527.3970000000004,964.636,2974.573999999999,244.899,2430.053000000001,1503.3249999999998,6129.814000000001,1396.5650000000005,234.132,385.59,431.9770000000001,984.701,797.8350000000003,985.541,1564.922,316.184,1064.3659999999998,1071.103,695.239,1043.985,1557.4300000000003,1352.217,923.549,813.2919999999999,1752.714,4221.433,1829.917,756.9639999999997,1358.4440000000002,1850.9210000000005,834.6890000000001,3707.9989999999993,2025.862,1630.6129999999996,1092.361,1043.985,1247.8949999999998
4,1878.962,604.3829999999999,1189.256,,1528.0569999999998,759.453,497.537,65.85,1151.2249999999997,1281.2000000000005,1283.6709999999996,364.625,98.357,486.622,357.586,2454.653,2396.9149999999995,753.762,3066.271,3130.335,979.602,1415.742,1422.0819999999997,1075.8470000000002,1875.4550000000004,2071.345,890.145,751.78,875.3119999999999,1082.834,1104.7659999999998,1330.877,235.51500000000004,1611.9400000000005,2420.796,2055.7090000000003,954.4820000000002,9705.97,597.738,743.0559999999999,2545.3450000000003,2964.424000000002,2254.796,1628.557,1880.4160000000008,3628.497000000001,1107.3739999999998,1631.1200000000003,818.9019999999999,5074.651,1760.383,1384.8439999999996,1455.1819999999996,1014.611,204.555,792.239,2001.616,765.989,1466.8959999999995,828.8240000000002,484.48,494.017,1407.803,955.789,316.86400000000003,1363.7510000000004,1253.4940000000004,2509.7670000000003,4194.411,2193.735,1655.554,2226.102,1061.2529999999997,1360.506,4361.922000000001,1990.474,1543.8919999999996,1441.423,1407.803,58.639
5,538.0299999999999,1585.2769999999998,1164.239,1528.0569999999998,,1201.325,1030.52,1524.707,1126.208,2292.0090000000005,1341.169,1753.76,1462.975,1602.4709999999998,1434.4439999999995,971.226,1230.034,667.753,3041.2540000000004,3105.318,1227.8789999999997,549.985,2322.7470000000003,1964.7240000000004,2014.7000000000005,816.3309999999999,1125.308,669.735,730.1870000000001,573.0229999999999,423.291,720.6760000000002,1609.669,2766.051,875.2360000000001,1201.504,1400.681,9058.812,1137.761,1046.765,1952.428,2125.3770000000004,1607.6379999999997,2178.6000000000004,1695.581,2774.2919999999995,999.9930000000002,2682.427,1842.126,5781.017000000001,593.5020000000001,1359.8269999999998,1512.68,1281.943,1323.502,908.9500000000002,2140.861000000001,1654.866,1441.879,1564.9199999999998,1465.3739999999998,1034.04,120.254,1208.633,1691.0179999999998,479.43,552.052,1955.514,2774.1090000000004,538.566,1794.799,1954.958,1502.124,894.237,3522.874999999999,2891.1390000000006,2444.557,328.052,120.254,1586.6959999999997
6,1477.947,437.0999999999999,753.7499999999999,759.453,1201.325,,302.342,756.1030000000001,715.7189999999999,1113.9170000000004,804.475,985.1560000000002,694.3710000000001,601.312,433.285,2127.9210000000003,2070.1830000000004,489.21600000000007,2630.765,2443.824,487.5540000000001,1089.0100000000002,1263.4529999999993,1251.896,1344.5340000000003,1744.6130000000005,398.0970000000001,487.234,529.147,756.1020000000003,778.0340000000002,1004.1450000000004,841.065,1715.1830000000002,2094.064,1654.6940000000002,370.6880000000001,9304.954999999998,195.101,243.29400000000004,2144.3299999999995,2563.409000000001,1853.781,1731.8000000000002,1479.4010000000003,3227.4820000000004,671.8679999999999,1734.3630000000005,791.0569999999999,5178.041000000001,1433.6510000000003,949.338,975.9860000000002,483.69,554.898,527.6930000000001,1470.695,869.232,944.67,349.81700000000006,274.973,298.822,1081.071,1085.6619999999998,922.414,962.7360000000002,852.4790000000002,2108.7519999999995,3867.679,1867.003,1124.633,1825.087,1336.775,959.491,3960.907,1831.8449999999991,1385.2629999999992,1114.6910000000005,1081.071,818.0920000000001
7,1381.425,554.757,691.719,497.537,1030.52,302.342,,494.187,653.688,1231.574,786.1339999999999,723.2400000000001,432.455,571.951,403.924,1957.116,1899.378,256.225,2568.734,2632.798,482.065,918.2050000000002,1372.4559999999994,1183.0610000000004,1459.6650000000002,1573.8080000000002,392.608,254.243,377.775,585.2970000000001,607.229,833.3400000000001,579.149,1719.1540000000002,1923.259,1558.172,605.549,9208.433,107.241,245.519,2047.808,2466.8870000000006,1757.2589999999998,1735.7710000000002,1382.8790000000004,3130.96,609.837,1738.3340000000003,811.6059999999999,5181.865000000001,1262.8460000000002,887.3070000000001,957.645,536.1289999999999,292.982,294.702,1585.8259999999998,873.203,969.3590000000002,652.159,434.854,3.52,910.266,1082.0559999999998,660.4979999999999,866.2140000000002,755.9570000000001,2012.23,3696.873999999999,1696.198,1239.764,1728.5649999999998,1340.746,862.969,3864.3849999999993,1940.8479999999995,1494.2659999999994,943.886,910.266,556.176
8,1875.612,601.0329999999999,1185.906,65.85,1524.707,756.1030000000001,494.187,,1147.8749999999998,1277.8500000000004,1280.3209999999997,361.275,95.007,483.272,354.236,2451.3029999999994,2393.565,750.4119999999999,3062.921,3126.985,976.252,1412.3919999999998,1418.7319999999995,1072.497,1872.1050000000005,2067.995,886.7949999999998,748.43,871.9619999999998,1079.4839999999997,1101.4159999999997,1327.5269999999998,233.52000000000004,1608.5900000000004,2417.445999999999,2052.3590000000004,951.132,9702.62,594.3879999999999,739.7059999999999,2541.995,2961.074000000002,2251.4459999999995,1625.207,1877.0660000000007,3625.147000000001,1104.0239999999997,1627.7700000000004,815.552,5071.301,1757.033,1381.4939999999997,1451.8319999999997,1011.261,201.205,788.889,1998.266,762.639,1463.5459999999998,825.474,481.13,490.667,1404.4529999999995,952.439,314.869,1360.4010000000003,1250.1440000000002,2506.417,4191.061,2190.385,1652.2040000000002,2222.7520000000004,1057.9029999999998,1357.1559999999995,4358.572000000001,1987.124,1540.5419999999997,1438.073,1404.4529999999995,124.489
9,1521.971,1357.0969999999993,173.833,1151.2249999999997,1126.208,715.7189999999999,653.688,1147.8749999999998,,1784.3430000000003,512.7600000000001,1376.928,1086.143,1225.639,1057.612,2052.804,1995.0660000000005,518.607,2050.8479999999995,2114.9120000000007,575.827,1013.893,1644.0919999999994,1922.322,994.669,1669.4960000000003,473.256,520.5889999999999,402.399,680.9850000000001,702.917,929.028,1232.837,2372.842,2018.9470000000003,1314.3199999999997,862.0959999999999,8924.793,760.9290000000001,535.859,1669.619,2223.0350000000008,1469.323,2489.3660000000004,766.0830000000001,2887.108,90.54,2392.022000000001,1465.294,6091.783000000001,1358.5340000000003,369.4210000000001,520.879,629.8909999999997,946.67,759.8040000000001,1120.8299999999997,1526.891,451.47300000000007,1026.3349999999998,1033.072,657.2080000000001,1005.954,1519.3990000000003,1314.186,836.0830000000001,725.826,1634.041,4133.967000000001,1791.886,892.2529999999998,1239.771,1812.8900000000003,747.2230000000001,3620.533,2161.151,1765.9019999999994,1004.895,1005.954,1209.8639999999998
10,2618.485000000001,851.0919999999999,1822.3740000000005,1281.2000000000005,2292.0090000000005,1113.9170000000004,1231.574,1277.8500000000004,1784.3430000000003,,1602.1869999999994,1447.9830000000002,1216.118,938.3950000000002,955.032,2409.793,2352.055,1487.799,2899.7819999999992,2646.4450000000006,1341.683,1678.046,897.114,444.905,1595.0869999999995,2026.4850000000004,1360.3649999999998,1485.817,1734.4159999999993,1816.871,1838.803,1673.7470000000003,1362.812,1068.9549999999997,2375.936,2753.948,951.62,10404.208999999995,1124.333,1305.831,3243.5840000000007,3662.663000000001,2953.034999999999,1432.9889999999998,2578.654999999998,4326.736000000003,1740.4919999999993,1088.1349999999998,1312.804,4531.665999999999,1715.5230000000004,1795.5129999999997,1773.6979999999994,1281.4019999999998,1076.645,1526.2759999999998,1731.4679999999998,711.455,1742.3819999999996,825.9619999999999,848.6440000000001,1228.054,2141.84,1083.3760000000002,1444.1609999999998,2168.004999999999,2057.747999999999,3208.0060000000008,4550.757999999999,2148.8750000000005,1483.715,2924.3409999999985,1288.701,2186.851,5060.161000000001,1465.506,1018.924,2175.4600000000005,2141.84,1339.8389999999995
