nodo,1,2,3,4,5,6,7,8,9,10
1,,25.81576,21.45916,25.052826666666668,7.173733333333331,19.70596,18.419,25.00816,20.292946666666666,34.91313333333335
2,25.81576,,18.60170666666665,8.05844,21.137026666666664,5.827999999999999,7.39676,8.013773333333331,18.094626666666656,11.347893333333332
3,21.45916,18.60170666666665,,15.856746666666668,15.523186666666668,10.05,9.22292,15.81208,2.317773333333333,24.298320000000007
4,25.052826666666668,8.05844,15.856746666666668,,20.37409333333333,10.12604,6.633826666666667,0.8779999999999999,15.349666666666662,17.08266666666667
5,7.173733333333331,21.137026666666664,15.523186666666668,20.37409333333333,,16.017666666666667,13.740266666666669,20.329426666666667,15.016106666666667,30.560120000000005
6,19.70596,5.827999999999999,10.05,10.12604,16.017666666666667,,4.031226666666666,10.081373333333334,9.54292,14.852226666666672
7,18.419,7.39676,9.22292,6.633826666666667,13.740266666666669,4.031226666666666,,6.589160000000001,8.71584,16.420986666666668
8,25.00816,8.013773333333331,15.81208,0.8779999999999999,20.329426666666667,10.081373333333334,6.589160000000001,,15.304999999999996,17.038000000000004
9,20.292946666666666,18.094626666666656,2.317773333333333,15.349666666666662,15.016106666666667,9.54292,8.71584,15.304999999999996,,23.791240000000005
10,34.91313333333335,11.347893333333332,24.298320000000007,17.08266666666667,30.560120000000005,14.852226666666672,16.420986666666668,17.038000000000004,23.791240000000005,
