RUTA:,EDAD,TAMAÑO BBDD,TIEMPO MAX,ALGORITMO,EJECUCION Nº,RUTA CICLICA,POIS VISITADOS,INTERÉS,DISTANCIA TOTAL,TIEMPO RUTA,MARGEN,NUMERO DE POIS VISITADOS,PORCENTAJE INTERES,TIEMPO EJECUCION ALGORITMO
0,30,158,300,Greedy,1,True,"[10, 102, 49, 152, 9, 117, 144, 89, 10]",76,4876.951999999999,269.00199475065614,30.998005249343862,8,95.0,0.11626744270324707
1,30,158,300,GRASP,1,True,"[10, 51, 121, 9, 117, 152, 21, 7, 10]",82,5403.277,305.9091469816273,-5.909146981627316,8,102.5,0.09043526649475098
2,30,158,300,Enfriamiento Simulado,1,True,"[10, 102, 7, 152, 9, 117, 144, 89, 10]",83,4554.005999999999,283.7638582677165,16.2361417322835,8,103.75,26.279296875
3,30,158,300,Algoritmo Genetico Estacionario,1,True,"[10, 17, 121, 78, 117, 100, 10]",62,7909.842000000001,298.80370078740157,1.1962992125984329,6,103.33333333333334,21.90396237373352
4,30,158,300,Algoritmo Memetico,1,True,"[10, 149, 121, 152, 9, 102, 10]",63,5616.944000000001,258.71317585301836,41.286824146981644,6,105.0,321.1772871017456
5,30,158,300,Greedy,2,True,"[10, 102, 49, 152, 9, 117, 144, 89, 10]",76,4876.951999999999,269.00199475065614,30.998005249343862,8,95.0,0.09372401237487793
6,30,158,300,GRASP,2,True,"[10, 104, 89, 152, 144, 9, 121, 100, 10]",83,5185.400000000001,316.0498687664042,-16.049868766404188,8,103.75,0.0852515697479248
7,30,158,300,Enfriamiento Simulado,2,True,"[10, 102, 7, 152, 9, 117, 144, 89, 10]",83,4554.005999999999,283.7638582677165,16.2361417322835,8,103.75,26.354503870010376
8,30,158,300,Algoritmo Genetico Estacionario,2,True,"[10, 7, 89, 138, 70, 122, 85, 10]",67,6904.849,277.61481627296587,22.385183727034132,7,95.71428571428571,20.42714238166809
9,30,158,300,Algoritmo Memetico,2,True,"[10, 102, 53, 89, 9, 144, 10]",64,4958.5,257.0721784776902,42.927821522309785,6,106.66666666666666,290.89827966690063
