RUTA:,EDAD,TAMAÑO BBDD,TIEMPO MAX,ALGORITMO,EJECUCION Nº,RUTA CICLICA,POIS VISITADOS,INTERÉS,DISTANCIA TOTAL,TIEMPO RUTA,MARGEN,NUMERO DE POIS VISITADOS,PORCENTAJE INTERES,TIEMPO EJECUCION ALGORITMO
0,30,158,300,Greedy,1,False,"[9, 117, 144, 89, 152, 53, 104, 25, 21]",89,2347.9739999999997,295.81330708661415,4.186692913385855,9,98.88888888888889,0.1102151870727539
1,30,158,300,GRASP,1,False,"[102, 109, 21, 53, 117, 144, 9, 152, 45]",87,3754.422,296.2706299212598,3.729370078740203,9,96.66666666666666,4.968785047531128
2,30,158,300,Enfriamiento Simulado,1,False,"[9, 117, 144, 89, 152, 53, 21, 7, 102]",88,2518.177,275.0469422572179,24.953057742782107,9,97.77777777777779,27.316271543502808
3,30,158,300,Algoritmo Genetico Estacionario,1,False,"[37, 128, 9, 117, 89, 123, 100, 93]",71,5293.388,267.46703412073487,32.532965879265134,8,88.75,34.73382782936096
4,30,158,300,Algoritmo Memetico,1,False,"[51, 100, 110, 22, 121, 154, 109, 152, 9]",81,1721.2640000000001,284.5887664041994,15.411233595800581,9,90.0,674.0082137584686
5,30,158,300,Greedy,2,False,"[9, 117, 144, 89, 152, 53, 104, 25, 21]",89,2347.9739999999997,295.81330708661415,4.186692913385855,9,98.88888888888889,0.08656740188598633
6,30,158,300,GRASP,2,False,"[9, 117, 144, 89, 53, 104, 21, 152, 109]",88,2313.351,290.35893700787403,9.641062992125967,9,97.77777777777779,4.615463733673096
7,30,158,300,Enfriamiento Simulado,2,False,"[9, 117, 144, 89, 152, 53, 21, 7, 102]",88,2518.177,275.0469422572179,24.953057742782107,9,97.77777777777779,27.964113235473633
8,30,158,300,Algoritmo Genetico Estacionario,2,False,"[9, 7, 152, 21, 92, 94, 89, 135, 117]",82,3382.088,270.3843569553806,29.61564304461939,9,91.11111111111111,37.43785214424133
9,30,158,300,Algoritmo Memetico,2,False,"[104, 89, 152, 21, 62, 92, 116, 9, 123]",80,4123.792,295.11800524934387,4.881994750656133,9,88.88888888888889,727.4905014038086
