osmid,y,x,highway,street_count,ref,geometry
21293406,37.1686569,-3.5830408,crossing,4,,POINT (-3.5830408 37.1686569)
21293408,37.1640965,-3.5766677,crossing,4,,POINT (-3.5766677 37.1640965)
21293413,37.1863404,-3.6083244,crossing,4,,POINT (-3.6083244 37.1863404)
21293417,37.1644638,-3.578198,,3,,POINT (-3.578198 37.1644638)
21293419,37.1859304,-3.6083892,,5,,POINT (-3.6083892 37.1859304)
21293420,37.16703,-3.5871459,,4,,POINT (-3.5871459 37.16703)
21293429,37.1869597,-3.6079553,,4,,POINT (-3.6079553 37.1869597)
21293431,37.1716981,-3.5807755,,3,,POINT (-3.5807755 37.1716981)
21293432,37.1675466,-3.5878624,,3,,POINT (-3.5878624 37.1675466)
21293448,37.1672343,-3.5876039,,3,,POINT (-3.5876039 37.1672343)
21293457,37.1810508,-3.6059186,,4,,POINT (-3.6059186 37.1810508)
21293463,37.1875404,-3.6013243,,3,,POINT (-3.6013243 37.1875404)
21293481,37.1632161,-3.6015098,,3,,POINT (-3.6015098 37.1632161)
21293487,37.1928674,-3.6007035,,3,,POINT (-3.6007035 37.1928674)
21293490,37.1927674,-3.6005896,,3,,POINT (-3.6005896 37.1927674)
21293499,37.1664084,-3.5986089,,3,,POINT (-3.5986089 37.1664084)
21293502,37.1773549,-3.6118082,,4,,POINT (-3.6118082 37.1773549)
21293510,37.189675,-3.6004218,,3,,POINT (-3.6004218 37.189675)
21293514,37.1698463,-3.5817958,,3,,POINT (-3.5817958 37.1698463)
21293521,37.186865,-3.6037866,,3,,POINT (-3.6037866 37.186865)
21293527,37.1629122,-3.5710428,,3,,POINT (-3.5710428 37.1629122)
21293533,37.1836091,-3.6048388,,3,,POINT (-3.6048388 37.1836091)
21293538,37.1625771,-3.5708655,,3,,POINT (-3.5708655 37.1625771)
21293552,37.1655151,-3.6041714,,3,,POINT (-3.6041714 37.1655151)
21293572,37.1636354,-3.5741171,,3,,POINT (-3.5741171 37.1636354)
21293580,37.1730072,-3.5832672,,3,,POINT (-3.5832672 37.1730072)
21293606,37.1678987,-3.5886042,crossing,4,,POINT (-3.5886042 37.1678987)
21293612,37.1629275,-3.5706937,,3,,POINT (-3.5706937 37.1629275)
21293618,37.1903871,-3.6007371,,4,,POINT (-3.6007371 37.1903871)
21293622,37.1786983,-3.6089488,,3,,POINT (-3.6089488 37.1786983)
21478300,37.1774397,-3.5984452,,4,,POINT (-3.5984452 37.1774397)
21478308,37.1828485,-3.6018898,crossing,5,,POINT (-3.6018898 37.1828485)
21478768,37.1677479,-3.6088258,,3,,POINT (-3.6088258 37.1677479)
21478794,37.1679967,-3.6091883,,3,,POINT (-3.6091883 37.1679967)
21478805,37.1673676,-3.6090594,,3,,POINT (-3.6090594 37.1673676)
21478901,37.1673348,-3.6095477,,3,,POINT (-3.6095477 37.1673348)
21478905,37.1677817,-3.6105794,,3,,POINT (-3.6105794 37.1677817)
21478910,37.1695275,-3.6071229,,3,,POINT (-3.6071229 37.1695275)
33143008,37.2061946,-3.6196446,,3,,POINT (-3.6196446 37.2061946)
33143014,37.1973591,-3.6102986,,3,,POINT (-3.6102986 37.1973591)
33143018,37.1968418,-3.6104208,,3,,POINT (-3.6104208 37.1968418)
33143020,37.1968094,-3.6102875,,3,,POINT (-3.6102875 37.1968094)
