RUTA:,EDAD,TAMAÑO BBDD,TIEMPO MAX,ALGORITMO,EJECUCION Nº,RUTA CICLICA,POIS VISITADOS,INTERÉS,DISTANCIA TOTAL,TIEMPO RUTA,MARGEN,NUMERO DE POIS VISITADOS,PORCENTAJE INTERES,TIEMPO EJECUCION ALGORITMO
0,30,158,300,GRASP,1,True,"[9, 7, 102, 21, 104, 152, 117, 144, 9]",78,4066.1120000000005,272.4887270341207,27.5112729658793,8,97.5,0.1015474796295166
1,30,158,300,GRASP,2,True,"[9, 7, 102, 21, 104, 152, 117, 144, 9]",78,4066.1120000000005,272.4887270341207,27.5112729658793,8,97.5,0.08973431587219238
2,30,158,300,GRASP,3,True,"[9, 7, 102, 21, 104, 152, 117, 144, 9]",78,4066.1120000000005,272.4887270341207,27.5112729658793,8,97.5,0.09015774726867676
3,30,158,300,GRASP,4,True,"[9, 7, 102, 21, 104, 152, 117, 144, 9]",78,4066.1120000000005,272.4887270341207,27.5112729658793,8,97.5,0.08809971809387207
4,30,158,300,GRASP,5,True,"[9, 7, 102, 21, 104, 152, 117, 144, 9]",78,4066.1120000000005,272.4887270341207,27.5112729658793,8,97.5,0.0872952938079834
5,30,158,300,GRASP,6,True,"[9, 7, 102, 21, 104, 152, 117, 144, 9]",78,4066.1120000000005,272.4887270341207,27.5112729658793,8,97.5,0.08968496322631836
6,30,158,300,GRASP,7,True,"[9, 7, 102, 21, 104, 152, 117, 144, 9]",78,4066.1120000000005,272.4887270341207,27.5112729658793,8,97.5,0.09745955467224121
7,30,158,300,GRASP,8,True,"[9, 7, 102, 21, 104, 152, 117, 144, 9]",78,4066.1120000000005,272.4887270341207,27.5112729658793,8,97.5,0.08891892433166504
8,30,158,300,GRASP,9,True,"[9, 7, 102, 21, 104, 152, 117, 144, 9]",78,4066.1120000000005,272.4887270341207,27.5112729658793,8,97.5,0.08774924278259277
9,30,158,300,GRASP,10,True,"[9, 7, 102, 21, 104, 152, 117, 144, 9]",78,4066.1120000000005,272.4887270341207,27.5112729658793,8,97.5,0.08767318725585938
10,30,158,300,GRASP,11,True,"[9, 7, 102, 21, 104, 152, 117, 144, 9]",78,4066.1120000000005,272.4887270341207,27.5112729658793,8,97.5,0.0876615047454834
11,30,158,300,GRASP,12,True,"[9, 102, 70, 121, 138, 104, 117, 144, 9]",79,6316.674000000001,283.6433070866142,16.356692913385814,8,98.75,0.08828330039978027
12,30,158,300,GRASP,13,True,"[9, 102, 70, 121, 138, 104, 117, 144, 9]",79,6316.674000000001,283.6433070866142,16.356692913385814,8,98.75,0.08787083625793457
