RUTA:,EDAD,TAMAÑO BBDD,TIEMPO MAX,ALGORITMO,EJECUCION Nº,RUTA CICLICA,POIS VISITADOS,INTERÉS,DISTANCIA TOTAL,TIEMPO RUTA,MARGEN,NUMERO DE POIS VISITADOS,PORCENTAJE INTERES,TIEMPO EJECUCION ALGORITMO
0,30,158,300,Greedy,1,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.0499999999997,267.66732283464563,32.33267716535437,8,100.0,0.11358952522277832
1,30,158,300,GRASP,1,True,"[9, 25, 53, 21, 121, 152, 89, 117, 9]",89,4189.535,302.9807742782153,-2.9807742782152786,8,111.25,0.08993029594421387
2,30,158,300,Enfriamiento Simulado,1,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",90,2413.0499999999997,291.66732283464563,8.332677165354369,8,112.5,85.84063696861267
3,30,158,300,Algoritmo Genetico Estacionario,1,True,"[9, 135, 117, 29, 62, 53, 121, 116, 9]",79,4979.871,299.3526377952756,0.6473622047244021,8,98.75,25.773329734802246
4,30,158,300,Algoritmo Memetico,1,True,"[9, 117, 152, 109, 122, 121, 25, 89, 9]",87,3914.487,283.37122047244094,16.62877952755906,8,108.75,356.6649491786957
5,30,158,300,Greedy,2,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.0499999999997,267.66732283464563,32.33267716535437,8,100.0,0.09569931030273438
6,30,158,300,GRASP,2,True,"[9, 51, 121, 109, 7, 144, 117, 9]",78,3399.6580000000004,268.6149343832021,31.385065616797874,7,111.42857142857142,0.07105278968811035
7,30,158,300,Enfriamiento Simulado,2,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",90,2413.0499999999997,291.66732283464563,8.332677165354369,8,112.5,26.376956462860107
8,30,158,300,Algoritmo Genetico Estacionario,2,True,"[9, 90, 109, 25, 104, 117, 152, 9]",75,4296.075999999999,267.3789501312336,32.62104986876642,7,107.14285714285714,23.02025270462036
9,30,158,300,Algoritmo Memetico,2,True,"[9, 89, 144, 78, 121, 109, 152, 9]",78,3127.7440000000006,273.04650918635167,26.95349081364833,7,111.42857142857142,327.37587118148804
10,30,158,300,Greedy,3,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.0499999999997,267.66732283464563,32.33267716535437,8,100.0,0.0980989933013916
11,30,158,300,GRASP,3,True,"[9, 51, 121, 152, 25, 144, 117, 9]",80,4648.906000000001,294.00926509186354,5.99073490813646,7,114.28571428571429,0.07472515106201172
12,30,158,300,Enfriamiento Simulado,3,True,"[9, 117, 144, 89, 152, 121, 138, 109, 9]",88,2168.776,267.46162729658795,32.53837270341205,8,110.0,23.25034189224243
13,30,158,300,Algoritmo Genetico Estacionario,3,True,"[9, 102, 89, 152, 7, 138, 94, 9]",76,5352.632,255.24451443569552,44.75548556430448,7,108.57142857142858,21.50130581855774
14,30,158,300,Algoritmo Memetico,3,True,"[9, 7, 121, 51, 53, 89, 117, 9]",79,4205.097,271.18499999999995,28.815000000000055,7,112.85714285714286,329.8799617290497
15,30,158,300,Greedy,4,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.0499999999997,267.66732283464563,32.33267716535437,8,100.0,0.09533357620239258
16,30,158,300,GRASP,4,True,"[9, 117, 89, 104, 53, 152, 109, 144, 9]",89,2706.0180000000005,290.51204724409445,9.487952755905553,8,111.25,0.08518671989440918
17,30,158,300,Enfriamiento Simulado,4,True,"[9, 117, 94, 89, 152, 53, 104, 144, 9]",88,1942.038,273.486062992126,26.513937007874006,8,110.0,24.152282238006592
18,30,158,300,Algoritmo Genetico Estacionario,4,True,"[9, 7, 110, 121, 152, 104, 138, 9]",76,5540.784000000001,286.7137007874016,13.286299212598408,7,108.57142857142858,20.654419898986816
19,30,158,300,Algoritmo Memetico,4,True,"[9, 21, 7, 121, 53, 152, 9]",68,3832.2690000000002,242.2922440944882,57.70775590551179,6,113.33333333333334,323.59979033470154
20,30,158,300,Greedy,5,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.0499999999997,267.66732283464563,32.33267716535437,8,100.0,0.09771227836608887
