RUTA:,EDAD,TAMAÑO BBDD,TIEMPO MAX,ALGORITMO,EJECUCION Nº,RUTA CICLICA,POIS VISITADOS,INTERÉS,DISTANCIA TOTAL,TIEMPO RUTA,MARGEN,NUMERO DE POIS VISITADOS,PORCENTAJE INTERES,TIEMPO EJECUCION ALGORITMO
0,30,158,300,Greedy,1,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.0499999999997,267.66732283464563,32.33267716535437,8,100.0,0.11855268478393555
1,30,158,300,GRASP,1,True,"[9, 121, 100, 102, 144, 89, 53, 21, 9]",78,5118.925999999999,296.17750656167976,3.8224934383202367,8,97.5,0.09286284446716309
2,30,158,300,Enfriamiento Simulado,1,True,"[9, 117, 102, 89, 152, 53, 104, 25, 9]",80,5173.953999999999,296.1297112860892,3.8702887139107816,8,100.0,0.2752799987792969
3,30,158,300,Algoritmo Genetico Estacionario,1,True,"[9, 89, 119, 109, 78, 117, 94, 9]",63,2750.359000000001,253.09395013123358,46.90604986876642,7,90.0,20.62917184829712
4,30,158,300,Algoritmo Memetico,1,True,"[9, 152, 102, 49, 53, 89, 144, 9]",69,3769.073999999999,270.46291338582677,29.537086614173234,7,98.57142857142858,354.99796438217163
5,30,158,300,Greedy,2,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.0499999999997,267.66732283464563,32.33267716535437,8,100.0,0.11081266403198242
6,30,158,300,GRASP,2,True,"[9, 128, 104, 53, 152, 144, 117, 89, 9]",79,3798.7259999999997,276.8520472440945,23.14795275590552,8,98.75,0.08110332489013672
7,30,158,300,Enfriamiento Simulado,2,True,"[9, 117, 144, 89, 152, 25, 104, 121, 9]",80,4084.0969999999998,292.827125984252,7.172874015747993,8,100.0,0.23273849487304688
8,30,158,300,Algoritmo Genetico Estacionario,2,True,"[9, 104, 144, 51, 17, 109, 9]",59,5566.468,289.05076115485565,10.94923884514435,6,98.33333333333334,21.841243267059326
9,30,158,300,Algoritmo Memetico,2,True,"[9, 51, 138, 122, 7, 89, 144, 9]",66,3524.762,257.25671916010504,42.743280839894965,7,94.28571428571429,355.58927178382874
