RUTA:,EDAD,TAMAÑO BBDD,TIEMPO MAX,ALGORITMO,EJECUCION Nº,RUTA CICLICA,POIS VISITADOS,INTERÉS,DISTANCIA TOTAL,TIEMPO RUTA,MARGEN,NUMERO DE POIS VISITADOS,PORCENTAJE INTERES,TIEMPO EJECUCION ALGORITMO
0,30,158,300,Greedy,1,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.0499999999997,267.66732283464563,32.33267716535437,8,100.0,0.10978150367736816
1,30,158,300,GRASP,1,True,"[9, 144, 53, 25, 104, 152, 21, 7, 9]",78,3575.79,289.92637795275584,10.073622047244157,8,97.5,0.08501863479614258
2,30,158,300,Enfriamiento Simulado,1,True,"[9, 117, 144, 89, 152, 70, 100, 51, 9]",79,4365.9039999999995,289.0905380577428,10.909461942257224,8,98.75,0.2542543411254883
3,30,158,300,Algoritmo Genetico Estacionario,1,True,"[9, 78, 152, 120, 121, 29, 104, 9]",63,5429.338000000002,292.25115485564305,7.748845144356949,7,90.0,22.651390552520752
4,30,158,300,Algoritmo Memetico,1,True,"[9, 152, 25, 104, 144, 117, 9]",60,2160.4080000000004,228.35181102362205,71.64818897637795,6,100.0,309.9755744934082
5,30,158,300,Greedy,2,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.0499999999997,267.66732283464563,32.33267716535437,8,100.0,0.09941768646240234
6,30,158,300,GRASP,2,True,"[9, 117, 138, 121, 89, 104, 53, 152, 9]",79,3530.6300000000006,262.3337270341207,37.66627296587927,8,98.75,0.08092832565307617
7,30,158,300,Enfriamiento Simulado,2,True,"[9, 117, 144, 89, 152, 102, 104, 25, 9]",80,4667.892,291.48847769028873,8.511522309711268,8,100.0,0.2352604866027832
8,30,158,300,Algoritmo Genetico Estacionario,2,True,"[9, 138, 89, 144, 92, 63, 152, 9]",65,4054.8,282.2125984251968,17.787401574803198,7,92.85714285714286,20.203766345977783
9,30,158,300,Algoritmo Memetico,2,True,"[9, 53, 104, 138, 121, 152, 89, 9]",69,3555.125,265.6551837270341,34.344816272965886,7,98.57142857142858,354.9268250465393
10,30,158,300,Greedy,3,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.0499999999997,267.66732283464563,32.33267716535437,8,100.0,0.10923314094543457
11,30,158,300,GRASP,3,True,"[9, 25, 104, 53, 89, 121, 100, 138, 9]",78,4204.152,284.1725984251968,15.827401574803218,8,97.5,0.08293533325195312
12,30,158,300,Enfriamiento Simulado,3,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.0499999999997,277.897375328084,22.102624671915976,8,100.0,0.2455441951751709
13,30,158,300,Algoritmo Genetico Estacionario,3,True,"[9, 117, 121, 21, 116, 144, 7, 9]",65,4129.119000000001,269.1879133858268,30.81208661417321,7,92.85714285714286,21.432461738586426
14,30,158,300,Algoritmo Memetico,3,True,"[9, 121, 122, 25, 94, 144, 117, 9]",66,3763.895,264.39494750656166,35.605052493438336,7,94.28571428571429,420.60162019729614
