"RUTA:","EDAD","TAMAÑO BBDD","TIEMPO MAX","ALGORITMO","EJECUCION Nº","RUTA CICLICA","POIS VISITADOS","INTERÉS","DISTANCIA TOTAL","TIEMPO RUTA","MARGEN","NUMERO DE POIS VISITADOS","PORCENTAJE INTERES","TIEMPO EJECUCION ALGORITMO"
0,30,158,120,"Greedy",1,VERDADERO,"[9, 117, 144, 9]",30,"115,716","85,5185826771653","34,4814173228347",3,100,"0,0713057518005371"
1,30,158,120,"GRASP",1,VERDADERO,"[9, 25, 21, 9]",29,"2500,089","119,809566929134","0,190433070866135",3,"96,6666666666667","0,0463480949401856"
2,30,158,120,"Enfriamiento Simulado",1,VERDADERO,"[9, 117, 89, 9]",40,"373,306","96,8990288713911","23,1009711286089",3,"133,333333333333","16,2316877841949"
3,30,158,120,"Algoritmo Genetico Estacionario",1,VERDADERO,"[9, 152, 89, 9]",40,"464,004","103,089291338583","16,9107086614173",3,"133,333333333333","13,0304090976715"
4,30,158,120,"Algoritmo Memetico",1,VERDADERO,"[9, 152, 144, 9]",40,"347,302","117,557769028871","2,44223097112862",3,"133,333333333333","150,575484991074"
5,30,158,120,"Greedy",2,VERDADERO,"[9, 117, 144, 9]",30,"115,716","85,5185826771653","34,4814173228347",3,100,"0,0381555557250977"
6,30,158,120,"GRASP",2,VERDADERO,"[9, 152, 121, 9]",30,"1919,082","105,184803149606","14,8151968503937",3,100,"0,0302503108978271"
7,30,158,120,"Enfriamiento Simulado",2,VERDADERO,"[9, 117, 89, 9]",40,"373,306","96,8990288713911","23,1009711286089",3,"133,333333333333","11,2853260040283"
8,30,158,120,"Algoritmo Genetico Estacionario",2,VERDADERO,"[9, 117, 144, 9]",40,"115,716","109,518582677165","10,4814173228347",3,"133,333333333333","9,86701083183289"
9,30,158,120,"Algoritmo Memetico",2,VERDADERO,"[9, 144, 152, 9]",40,"347,302","117,557769028871","2,44223097112861",3,"133,333333333333","147,857783079147"
10,30,158,120,"Greedy",3,VERDADERO,"[9, 117, 144, 9]",30,"115,716","85,5185826771653","34,4814173228347",3,100,"0,0388228893280029"
11,30,158,120,"GRASP",3,VERDADERO,"[9, 21, 53, 9]",29,"1527,111","110,040826771654","9,95917322834646",3,"96,6666666666667","0,0482184886932373"
12,30,158,120,"Enfriamiento Simulado",3,VERDADERO,"[9, 117, 89, 9]",40,"373,306","96,8990288713911","23,1009711286089",3,"133,333333333333","11,278023481369"
13,30,158,120,"Algoritmo Genetico Estacionario",3,VERDADERO,"[9, 152, 144, 9]",40,"347,302","117,557769028871","2,44223097112862",3,"133,333333333333","12,4304585456848"
14,30,158,120,"Algoritmo Memetico",3,VERDADERO,"[9, 152, 89, 9]",40,"464,004","103,089291338583","16,9107086614173",3,"133,333333333333","148,408278226852"
15,30,158,120,"Greedy",4,VERDADERO,"[9, 117, 144, 9]",30,"115,716","85,5185826771653","34,4814173228347",3,100,"0,0375564098358154"
16,30,158,120,"GRASP",4,VERDADERO,"[9, 152, 21, 9]",29,"1066,818","93,0002362204725","26,9997637795276",3,"96,6666666666667","0,0312836170196533"
17,30,158,120,"Enfriamiento Simulado",4,VERDADERO,"[9, 117, 89, 9]",40,"373,306","96,8990288713911","23,1009711286089",3,"133,333333333333","11,3795781135559"
18,30,158,120,"Algoritmo Genetico Estacionario",4,VERDADERO,"[9, 109, 152, 9]",39,"1133,016","117,868976377953","2,13102362204724",3,130,"11,0630378723145"
19,30,158,120,"Algoritmo Memetico",4,VERDADERO,"[9, 144, 117, 9]",40,"115,716","109,518582677165","10,4814173228347",3,"133,333333333333","148,320524692535"
20,30,158,120,"Greedy",5,VERDADERO,"[9, 117, 144, 9]",30,"115,716","85,5185826771653","34,4814173228347",3,100,"0,038078784942627"
21,30,158,120,"GRASP",5,VERDADERO,"[9, 104, 152, 9]",30,"1654,844","103,717112860892","16,2828871391076",3,100,"0,0310032367706299"
22,30,158,120,"Enfriamiento Simulado",5,VERDADERO,"[9, 117, 89, 9]",40,"373,306","96,8990288713911","23,1009711286089",3,"133,333333333333","11,411759853363"
23,30,158,120,"Algoritmo Genetico Estacionario",5,VERDADERO,"[9, 152, 117, 9]",40,"347,302","99,5577690288714","20,4422309711286",3,"133,333333333333","9,79421830177307"
24,30,158,120,"Algoritmo Memetico",5,VERDADERO,"[9, 117, 144, 9]",40,"115,716","109,518582677165","10,4814173228347",3,"133,333333333333","148,635903358459"
25,30,158,120,"Greedy",6,VERDADERO,"[9, 117, 144, 9]",30,"115,716","85,5185826771653","34,4814173228347",3,100,"0,039874792098999"
26,30,158,120,"GRASP",6,VERDADERO,"[9, 117, 89, 109, 9]",39,"1330,558","114,461391076115","5,53860892388452",4,"97,5","0,040153980255127"
27,30,158,120,"Enfriamiento Simulado",6,VERDADERO,"[9, 117, 89, 9]",40,"373,306","96,8990288713911","23,1009711286089",3,"133,333333333333","11,4123220443726"
28,30,158,120,"Algoritmo Genetico Estacionario",6,VERDADERO,"[9, 152, 117, 9]",40,"347,302","99,5577690288714","20,4422309711286",3,"133,333333333333","11,5227055549622"
