RUTA:,EDAD,TAMAÑO BBDD,TIEMPO MAX,ALGORITMO,EJECUCION Nº,RUTA CICLICA,POIS VISITADOS,INTERÉS,DISTANCIA TOTAL,TIEMPO RUTA,MARGEN,NUMERO DE POIS VISITADOS,PORCENTAJE INTERES,TIEMPO EJECUCION ALGORITMO
0,30,158,300,Greedy,1,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.0499999999997,267.66732283464563,32.33267716535437,8,100.0,0.1166226863861084
1,30,158,300,GRASP,1,True,"[9, 109, 138, 51, 121, 89, 144, 117, 9]",78,2975.6360000000004,263.0503412073491,36.949658792650894,8,97.5,0.08807110786437988
2,30,158,300,Enfriamiento Simulado,1,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",90,2413.0499999999997,291.66732283464563,8.332677165354369,8,112.5,32.316460609436035
3,30,158,300,Algoritmo Genetico Estacionario,1,True,"[9, 21, 25, 89, 102, 49, 122, 9]",76,6123.965,283.3669947506561,16.63300524934391,7,108.57142857142858,26.860304355621338
4,30,158,300,Algoritmo Memetico,1,True,"[9, 117, 53, 25, 102, 121, 109, 9]",79,5051.945000000001,286.2984908136483,13.7015091863517,7,112.85714285714286,464.20908212661743
5,30,158,300,Greedy,2,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.0499999999997,267.66732283464563,32.33267716535437,8,100.0,0.10307192802429199
6,30,158,300,GRASP,2,True,"[9, 117, 89, 25, 21, 152, 102, 49, 9]",78,5358.645,275.3234251968504,24.676574803149606,8,97.5,0.09024953842163086
7,30,158,300,Enfriamiento Simulado,2,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",90,2413.0499999999997,291.66732283464563,8.332677165354369,8,112.5,30.354495525360107
8,30,158,300,Algoritmo Genetico Estacionario,2,True,"[9, 89, 128, 93, 51, 149, 110, 9]",73,5556.431,292.91904199475067,7.080958005249329,7,104.28571428571429,26.211334943771362
9,30,158,300,Algoritmo Memetico,2,True,"[9, 152, 102, 138, 89, 144, 109, 9]",78,5034.589999999999,275.07073490813656,24.929265091863442,7,111.42857142857142,401.09785652160645
10,30,158,300,Greedy,3,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.0499999999997,267.66732283464563,32.33267716535437,8,100.0,0.10326504707336426
11,30,158,300,GRASP,3,True,"[9, 152, 121, 21, 25, 117, 144, 9]",69,3962.291,254.99856955380574,45.00143044619426,7,98.57142857142858,0.0778803825378418
12,30,158,300,Enfriamiento Simulado,3,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",90,2413.0499999999997,291.66732283464563,8.332677165354369,8,112.5,30.033503770828247
13,30,158,300,Algoritmo Genetico Estacionario,3,True,"[9, 25, 110, 117, 94, 121, 7, 9]",75,6622.389000000001,296.90799212598426,3.092007874015735,7,107.14285714285714,25.157803297042847
14,30,158,300,Algoritmo Memetico,3,True,"[9, 117, 102, 89, 51, 121, 144, 9]",80,5852.255999999999,293.80125984251964,6.1987401574803584,7,114.28571428571429,394.34248971939087
15,30,158,300,Greedy,4,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.0499999999997,267.66732283464563,32.33267716535437,8,100.0,0.11662030220031738
16,30,158,300,GRASP,4,True,"[9, 7, 121, 109, 152, 89, 117, 144, 9]",78,2726.7760000000003,249.78446194225722,50.215538057742776,8,97.5,0.0944051742553711
17,30,158,300,Enfriamiento Simulado,4,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",90,2413.0499999999997,291.66732283464563,8.332677165354369,8,112.5,31.57562804222107
18,30,158,300,Algoritmo Genetico Estacionario,4,True,"[9, 144, 7, 120, 25, 135, 53, 9]",74,4738.808999999999,285.18909448818897,14.810905511811029,7,105.71428571428571,32.998502254486084
19,30,158,300,Algoritmo Memetico,4,True,"[9, 121, 51, 109, 53, 144, 9]",69,3650.569,265.9077296587926,34.09227034120738,6,115.0,390.32601165771484
20,30,158,300,Greedy,5,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.0499999999997,267.66732283464563,32.33267716535437,8,100.0,0.1436173915863037
21,30,158,300,GRASP,5,True,"[9, 45, 53, 21, 121, 152, 144, 117, 9]",78,4419.221,284.99502624671914,15.004973753280865,8,97.5,0.10031962394714355
22,30,158,300,Enfriamiento Simulado,5,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",90,2413.0499999999997,291.66732283464563,8.332677165354369,8,112.5,31.062812328338623
23,30,158,300,Algoritmo Genetico Estacionario,5,True,"[9, 109, 7, 89, 152, 21, 154, 9]",75,3945.34,255.77611548556428,44.223884514435724,7,107.14285714285714,25.226173162460327
24,30,158,300,Algoritmo Memetico,5,True,"[9, 152, 53, 89, 144, 140, 78, 9]",78,3706.598,285.6430183727034,14.35698162729659,7,111.42857142857142,394.5119059085846
25,30,158,300,Greedy,6,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.0499999999997,267.66732283464563,32.33267716535437,8,100.0,0.1227419376373291
26,30,158,300,GRASP,6,True,"[9, 144, 117, 121, 109, 152, 53, 89, 9]",79,2937.282,267.5470078740157,32.45299212598428,8,98.75,0.136275053024292
27,30,158,300,Enfriamiento Simulado,6,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",90,2413.0499999999997,291.66732283464563,8.332677165354369,8,112.5,30.670183181762695
28,30,158,300,Algoritmo Genetico Estacionario,6,True,"[9, 39, 102, 21, 138, 144, 29, 117, 9]",81,5180.3589999999995,295.98371391076114,4.016286089238861,8,101.25,21.52183222770691
29,30,158,300,Algoritmo Memetico,6,True,"[9, 144, 100, 51, 70, 110, 138, 9]",76,3753.306,276.2559842519685,23.744015748031472,7,108.57142857142858,356.9545397758484
30,30,158,300,Greedy,7,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.0499999999997,267.66732283464563,32.33267716535437,8,100.0,0.0960850715637207
31,30,158,300,GRASP,7,True,"[9, 25, 104, 121, 70, 152, 53, 9]",70,6422.442999999999,290.28402887139106,9.715971128608942,7,100.0,0.07504916191101074
32,30,158,300,Enfriamiento Simulado,7,True,"[9, 117, 144, 89, 152, 25, 104, 53, 9]",90,2413.0499999999997,291.6673228346457,8.332677165354312,8,112.5,25.99183440208435
33,30,158,300,Algoritmo Genetico Estacionario,7,True,"[9, 109, 121, 51, 144, 117, 9]",69,2841.6579999999994,239.2920997375328,60.707900262467206,6,115.0,23.652244091033936
34,30,158,300,Algoritmo Memetico,7,True,"[9, 152, 109, 144, 7, 89, 121, 9]",78,4531.844,276.47301837270345,23.52698162729655,7,111.42857142857142,391.5145537853241
35,30,158,300,Greedy,8,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.0499999999997,267.66732283464563,32.33267716535437,8,100.0,0.10030317306518555
36,30,158,300,GRASP,8,True,"[9, 152, 121, 70, 102, 53, 104, 9]",70,6099.771000000001,273.0494881889764,26.950511811023603,7,100.0,0.07642650604248047
37,30,158,300,Enfriamiento Simulado,8,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",90,2413.0499999999997,291.66732283464563,8.332677165354369,8,112.5,33.75383973121643
38,30,158,300,Algoritmo Genetico Estacionario,8,True,"[9, 85, 70, 140, 21, 89, 104, 9]",75,5835.731000000002,285.58439632545935,14.415603674540648,7,107.14285714285714,26.102412939071655
39,30,158,300,Algoritmo Memetico,8,True,"[9, 117, 152, 89, 49, 53, 104, 9]",79,4518.317999999999,273.29551181102363,26.70448818897637,7,112.85714285714286,331.10494351387024
40,30,158,300,Greedy,9,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.0499999999997,267.66732283464563,32.33267716535437,8,100.0,0.09743523597717285
41,30,158,300,GRASP,9,True,"[9, 144, 109, 138, 121, 100, 102, 53, 9]",77,4287.822999999999,285.27064304461936,14.729356955380638,8,96.25,0.08904266357421875
42,30,158,300,Enfriamiento Simulado,9,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",90,2413.0499999999997,291.66732283464563,8.332677165354369,8,112.5,26.687436819076538
43,30,158,300,Algoritmo Genetico Estacionario,9,True,"[9, 109, 117, 89, 47, 144, 121, 40, 9]",82,4065.7909999999997,287.35683727034115,12.643162729658854,8,102.5,22.324557542800903
44,30,158,300,Algoritmo Memetico,9,True,"[9, 109, 122, 117, 152, 25, 53, 9]",77,3612.376,263.4065091863517,36.593490813648316,7,110.0,387.0244972705841
45,30,158,300,Greedy,10,True,"[9, 117, 144, 89, 152, 53, 104, 25, 9]",80,2413.0499999999997,267.66732283464563,32.33267716535437,8,100.0,0.09629201889038086
46,30,158,300,GRASP,10,True,"[9, 144, 104, 25, 128, 51, 121, 9]",69,5872.706999999999,296.0696456692913,3.930354330708724,7,98.57142857142858,0.0708930492401123
47,30,158,300,Enfriamiento Simulado,10,True,"[9, 117, 144, 89, 152, 21, 7, 102, 9]",88,3355.138,273.03068241469816,26.969317585301837,8,110.0,23.414361238479614
