RUTA:,EDAD,TAMAÑO BBDD,TIEMPO MAX,ALGORITMO,EJECUCION Nº,RUTA CICLICA,POIS VISITADOS,INTERÉS,DISTANCIA TOTAL,TIEMPO RUTA,MARGEN,NUMERO DE POIS VISITADOS,PORCENTAJE INTERES,TIEMPO EJECUCION ALGORITMO
0,30,158,300,Greedy,1,False,"[9, 117, 144, 89, 152, 53, 104, 25, 21]",89,2347.9739999999997,295.81330708661415,4.186692913385855,9,98.88888888888889,0.09859633445739746
1,30,158,300,GRASP,1,False,"[109, 152, 9, 117, 89, 53, 104, 25, 128]",88,2695.2780000000002,286.3711023622047,13.628897637795319,9,97.77777777777779,4.631390333175659
2,30,158,300,Enfriamiento Simulado,1,False,"[94, 117, 9, 89, 152, 53, 104, 70, 121]",88,4552.146,297.73944881889764,2.2605511811023575,9,97.77777777777779,0.2601609230041504
3,30,158,300,Algoritmo Genetico Estacionario,1,False,"[39, 54, 47, 117, 138, 120, 82, 89, 9, 144]",77,3779.1359999999995,291.5949606299213,8.405039370078725,10,77.0,30.562475442886353
4,30,158,300,Algoritmo Memetico,1,False,"[105, 7, 30, 78, 29, 89, 152, 9, 117, 94]",86,3344.455000000001,292.8904855643044,7.109514435695587,10,86.0,718.2445394992828
5,30,158,300,Greedy,2,False,"[9, 117, 144, 89, 152, 53, 104, 25, 21]",89,2347.9739999999997,295.81330708661415,4.186692913385855,9,98.88888888888889,0.0910646915435791
6,30,158,300,GRASP,2,False,"[53, 89, 144, 9, 138, 121, 100, 51, 70]",88,2361.463,290.9903280839895,9.009671916010518,9,97.77777777777779,4.2524802684783936
7,30,158,300,Enfriamiento Simulado,2,False,"[9, 117, 144, 89, 152, 53, 104, 25, 128]",89,2434.368,292.9470866141732,7.052913385826798,9,98.88888888888889,0.2348494529724121
8,30,158,300,Algoritmo Genetico Estacionario,2,False,"[9, 102, 154, 109, 121, 89, 104, 52]",73,5517.95,284.4140419947507,15.585958005249324,8,91.25,32.18515729904175
9,30,158,300,Algoritmo Memetico,2,False,"[45, 140, 70, 122, 109, 9, 117, 21, 102]",84,5563.712000000001,289.014593175853,10.985406824146992,9,93.33333333333334,600.1017417907715
10,30,158,300,Greedy,3,False,"[9, 117, 144, 89, 152, 53, 104, 25, 21]",89,2347.9739999999997,295.81330708661415,4.186692913385855,9,98.88888888888889,0.08999109268188477
11,30,158,300,GRASP,3,False,"[104, 89, 144, 117, 9, 152, 138, 121, 51]",89,2212.8940000000002,282.04060367454065,17.959396325459352,9,98.88888888888889,4.230681419372559
12,30,158,300,Enfriamiento Simulado,3,False,"[9, 117, 144, 89, 152, 53, 104, 25, 150]",89,2520.8129999999996,299.0815354330708,0.918464566929174,9,98.88888888888889,0.22709393501281738
