RUTA:,EDAD,TAMAÑO BBDD,TIEMPO MAX,ALGORITMO,EJECUCION Nº,RUTA CICLICA,POIS VISITADOS,INTERÉS,DISTANCIA TOTAL,TIEMPO RUTA,MARGEN,NUMERO DE POIS VISITADOS,PORCENTAJE INTERES,TIEMPO EJECUCION ALGORITMO
0,30,158,120,Greedy,1,False,"[9, 117, 144, 89]",40,195.291,109.56287401574802,10.437125984251978,4,100.0,0.06754875183105469
1,30,158,120,GRASP,1,False,"[9, 89, 25]",30,991.1970000000001,94.00783464566929,25.99216535433071,3,100.0,3.8048181533813477
2,30,158,120,Enfriamiento Simulado,1,False,"[9, 117, 152, 89]",40,401.70500000000004,99.271719160105,20.728280839895007,4,100.0,13.604492425918579
3,30,158,120,Algoritmo Genetico Estacionario,1,False,"[152, 89, 117, 9]",40,365.487,98.79641732283464,21.203582677165357,4,100.0,15.213562965393066
4,30,158,120,Algoritmo Memetico,1,False,"[152, 9, 144, 89]",40,311.084,116.08246719160104,3.91753280839896,4,100.0,169.59826517105103
5,30,158,120,Greedy,2,False,"[9, 117, 144, 89]",40,195.291,109.56287401574802,10.437125984251978,4,100.0,0.04377460479736328
6,30,158,120,GRASP,2,False,"[53, 89, 117, 9]",40,534.683,112.0168372703412,7.983162729658801,4,100.0,2.6286792755126953
7,30,158,120,Enfriamiento Simulado,2,False,"[9, 117, 152, 89]",40,401.70500000000004,99.271719160105,20.728280839895007,4,100.0,10.911222457885742
8,30,158,120,Algoritmo Genetico Estacionario,2,False,"[9, 152, 138, 121]",39,985.6169999999998,115.93460629921259,4.065393700787411,4,97.5,13.511669874191284
9,30,158,120,Algoritmo Memetico,2,False,"[9, 152, 7, 102]",39,1445.1899999999998,111.96574803149606,8.034251968503938,4,97.5,185.68877792358398
10,30,158,120,Greedy,3,False,"[9, 117, 144, 89]",40,195.291,109.56287401574802,10.437125984251978,4,100.0,0.043694257736206055
11,30,158,120,GRASP,3,False,"[9, 117, 89, 21]",39,613.4350000000001,105.0503280839895,14.949671916010502,4,97.5,2.769378662109375
12,30,158,120,Enfriamiento Simulado,3,False,"[9, 117, 152, 89]",40,401.70500000000004,99.271719160105,20.728280839895007,4,100.0,11.032299757003784
13,30,158,120,Algoritmo Genetico Estacionario,3,False,"[9, 117, 138, 93]",36,999.0090000000001,101.11035433070866,18.88964566929134,4,90.0,10.881655931472778
14,30,158,120,Algoritmo Memetico,3,False,"[9, 152, 7, 89]",39,1413.931,113.5555249343832,6.4444750656168,4,97.5,192.4338870048523
15,30,158,120,Greedy,4,False,"[9, 117, 144, 89]",40,195.291,109.56287401574802,10.437125984251978,4,100.0,0.04696822166442871
16,30,158,120,GRASP,4,False,"[104, 144, 9]",30,796.806,105.4567716535433,14.5432283464567,3,100.0,3.598447799682617
17,30,158,120,Enfriamiento Simulado,4,False,"[9, 117, 152, 89]",40,401.70500000000004,99.271719160105,20.728280839895007,4,100.0,16.099850177764893
18,30,158,120,Algoritmo Genetico Estacionario,4,False,"[9, 152, 21, 122]",37,1288.319,116.90707349081366,3.0929265091863414,4,92.5,14.162251710891724
19,30,158,120,Algoritmo Memetico,4,False,"[21, 152, 9, 117]",39,548.8489999999999,107.20274278215221,12.797257217847786,4,97.5,179.63692927360535
20,30,158,120,Greedy,5,False,"[9, 117, 144, 89]",40,195.291,109.56287401574802,10.437125984251978,4,100.0,0.04256558418273926
21,30,158,120,GRASP,5,False,"[25, 89, 117, 9]",40,1008.4730000000001,115.23455380577427,4.765446194225731,4,100.0,2.7042055130004883
22,30,158,120,Enfriamiento Simulado,5,False,"[9, 117, 152, 89]",40,401.70500000000004,99.271719160105,20.728280839895007,4,100.0,11.380346298217773
23,30,158,120,Algoritmo Genetico Estacionario,5,False,"[9, 109, 120, 122]",34,868.191,106.39358267716536,13.606417322834645,4,85.0,9.836280345916748
24,30,158,120,Algoritmo Memetico,5,False,"[9, 152, 89, 104]",40,884.0320000000002,116.60146981627297,3.3985301837270327,4,100.0,173.93150973320007
25,30,158,120,Greedy,6,False,"[9, 117, 144, 89]",40,195.291,109.56287401574802,10.437125984251978,4,100.0,0.04321622848510742
26,30,158,120,GRASP,6,False,"[53, 89, 117, 9]",40,534.683,112.0168372703412,7.983162729658801,4,100.0,2.835416555404663
27,30,158,120,Enfriamiento Simulado,6,False,"[9, 117, 152, 89]",40,401.70500000000004,99.271719160105,20.728280839895007,4,100.0,12.361481189727783
28,30,158,120,Algoritmo Genetico Estacionario,6,False,"[9, 152, 93, 138]",36,1011.1479999999999,106.26965879265092,13.730341207349085,4,90.0,11.828777074813843
29,30,158,120,Algoritmo Memetico,6,False,"[117, 9, 109, 138]",38,865.448,108.35758530183726,11.642414698162739,4,95.0,177.2422149181366
